asset,n_trades,sharpe,win_rate,avg_return,total_return,max_dd,profit_factor
BTC Bot 2 (2026),25,-0.9022579202231544,0.24,-0.1300006364161585,-3.324399284981172,-7.060757755958937,0.7294846948731171
SOL Bot 2 transfer (2026),26,-2.1587544648522217,0.2692307692307692,-0.29045570150610356,-7.392591327171538,-10.086883000097682,0.4884025483450938
