period,btc_n,btc_sharpe,btc_wr,sol_n,sol_sharpe,sol_wr
Jan-Feb 2026,4,-15.624,0.0,3,1.511,0.333
Mar-Abr 2026,20,-0.098,0.3,22,-3.046,0.227
