asset,entry_ts,exit_ts,entry_price,exit_price,exit_reason,return_pct,hold_hours,rsi,bb_pct,ret_1d,stablecoin_z,close_ma21
btc,2026-02-24 19:00:00+00:00,2026-02-24 21:00:00+00:00,64435.03,63828.171,TRAIL,-0.941815344852011,2.0,76.40161318488632,0.8231004719171789,0.0021763711387026152,1.4234371605213982,1.0112905966598662
btc,2026-02-25 03:00:00+00:00,2026-02-25 05:00:00+00:00,65391.73,64803.4101,TRAIL,-0.899685480105821,2.0,77.20508436452926,0.8735586766558543,0.028244446817078828,1.8845245359987455,1.0209168180628334
btc,2026-02-25 09:00:00+00:00,2026-02-25 12:00:00+00:00,65558.71,65408.2506,TRAIL,-0.22950329559566834,3.0,63.15704430173156,0.798078779066589,0.03650150774727412,1.8845245359987455,1.0144428763828004
btc,2026-02-26 05:00:00+00:00,2026-02-26 13:00:00+00:00,68443.81,67903.5159,TRAIL,-0.7893980478293058,8.0,61.6051538457881,0.6182928842099463,0.054884379147865925,1.5977986317453197,1.01006826499083
btc,2026-02-28 21:00:00+00:00,2026-03-01 01:00:00+00:00,66723.22,66665.9664,TRAIL,-0.08580760940493634,4.0,75.19540829635531,0.8810506885976962,0.018246207437203177,1.3526423020608762,1.0259807313229201
btc,2026-03-01 05:00:00+00:00,2026-03-01 08:00:00+00:00,67292.09,66619.1691,TRAIL,-0.999999999999996,3.0,79.13913347423257,0.7391523378583568,0.0259343388874973,1.3151776922285465,1.0207730975652272
btc,2026-03-02 18:00:00+00:00,2026-03-02 23:00:00+00:00,68877.67,68746.08510000001,TRAIL,-0.1910414507343049,5.0,64.62079721445143,0.9034559902571424,0.03861523537840994,1.8808897958865394,1.0307189110688615
btc,2026-03-03 03:00:00+00:00,2026-03-03 08:00:00+00:00,68377.94,67694.1606,TRAIL,-0.9999999999999991,5.0,71.95575264886236,0.5595270700224744,0.023315014973803505,2.1882939314314913,1.0063686105577105
btc,2026-03-04 23:00:00+00:00,2026-03-05 06:00:00+00:00,72666.77,72087.54299999999,TRAIL,-0.7971002426556368,7.0,61.566068317911494,0.641617896798243,0.06334352775907992,2.546385148508424,1.0172848584410468
btc,2026-03-08 10:00:00+00:00,2026-03-08 12:00:00+00:00,67904.14,67225.0986,TRAIL,-1.0000000000000029,2.0,60.04103287435131,0.8993133487882736,0.000351059092098982,1.8333298887612617,1.0075487928518716
btc,2026-03-09 12:00:00+00:00,2026-03-09 13:00:00+00:00,68151.93,68286.24,TRAIL,0.19707438952941206,1.0,69.23636319804214,0.8880015337658865,0.012286868775688742,2.236612456562963,1.015001296454302
btc,2026-03-09 17:00:00+00:00,2026-03-10 00:00:00+00:00,68600.71,68465.7963,TRAIL,-0.19666516571039075,7.0,64.31822098928747,0.7471502513393764,0.022898829493774864,2.236612456562963,1.0150373915091373
btc,2026-03-10 05:00:00+00:00,2026-03-10 12:00:00+00:00,69971.34,70368.1308,TRAIL,0.5670761771891213,7.0,60.4061447811289,0.8763538773364091,0.030336398318037805,2.2309022504812983,1.0158164494364796
btc,2026-03-10 17:00:00+00:00,2026-03-10 18:00:00+00:00,70868.61,70159.9239,TRAIL,-1.0000000000000089,1.0,63.63283189495014,0.6899337522610213,0.03305942460362288,2.2309022504812983,1.0103442990859726
btc,2026-03-11 19:00:00+00:00,2026-03-12 01:00:00+00:00,70641.82,70033.8474,TRAIL,-0.8606411895956364,6.0,64.0450749262432,0.8430225800194844,0.008540248413738682,2.0689562982564906,1.0094820575352388
btc,2026-03-13 03:00:00+00:00,2026-03-13 12:00:00+00:00,71405.75,72833.865,TP,2.000000000000007,9.0,64.05650054318147,0.9283056392179783,0.028210736276399917,1.9177276988898866,1.0142122960517974
btc,2026-03-15 00:00:00+00:00,2026-03-15 22:00:00+00:00,70985.28,72404.9856,TP,2.0000000000000018,22.0,62.17725175238793,0.8594764213165152,0.005002125807902491,1.6031349559779984,1.0033865631131116
btc,2026-03-16 02:00:00+00:00,2026-03-16 03:00:00+00:00,72514.69,73964.9838,TP,1.9999999999999993,1.0,64.2082374973009,0.8107396682804402,0.014893661390615431,1.5644340607389526,1.0086387894006936
btc,2026-03-16 07:00:00+00:00,2026-03-16 14:00:00+00:00,73456.68,73368.4545,TRAIL,-0.12010548257828411,7.0,66.23234428955796,0.7789829777400891,0.02803344100695293,1.5644340607389526,1.0146285816397558
btc,2026-03-16 21:00:00+00:00,2026-03-17 01:00:00+00:00,74401.36,75889.3872,TP,1.9999999999999956,4.0,62.50211747763765,0.8982095266365985,0.031781907480254334,1.5644340607389526,1.0100904210287518
btc,2026-04-14 14:00:00+00:00,2026-04-14 16:00:00+00:00,75013.62,74563.8993,TRAIL,-0.5995187273990921,2.0,63.06122699911807,0.8005399147819899,0.03609757714590378,2.07539815435238,1.0103934315031229
btc,2026-04-15 21:00:00+00:00,2026-04-16 10:00:00+00:00,74743.1,74294.5599,TRAIL,-0.6001090401655977,13.0,66.55582258404283,0.8935169554433339,0.006273127065322459,1.754547484557296,1.0069050651214506
btc,2026-04-17 07:00:00+00:00,2026-04-17 08:00:00+00:00,75074.77,75022.57620000001,TRAIL,-0.06952242411131415,1.0,61.930172481249414,0.7128301205456031,0.004922428317656324,1.754547484557296,1.0047101954963036
btc,2026-04-17 18:00:00+00:00,2026-04-18 08:00:00+00:00,77159.89,76671.2727,TRAIL,-0.6332529763844895,14.0,72.44189836570654,0.758812037533665,0.02843227431937234,1.754547484557296,1.0173736660654855
btc,2026-04-20 20:00:00+00:00,2026-04-21 03:00:00+00:00,76276.17,75513.4083,TRAIL,-1.0000000000000036,7.0,72.30952181255272,0.9260092271225548,0.022057751574433793,1.754547484557296,1.015126568692752
sol,2026-02-24 19:00:00+00:00,2026-02-25 01:00:00+00:00,78.38,79.9476,TP,1.9999999999999987,6.0,75.8928571428573,0.9262048034647261,0.0011495721037169115,1.4234371605213982,1.0143839668688062
sol,2026-02-26 05:00:00+00:00,2026-02-26 09:00:00+00:00,87.76,87.43679999999999,TRAIL,-0.3682771194166068,4.0,60.277136258660555,0.5530200865382009,0.07945879458794591,1.5977986317453197,1.0081121145651568
sol,2026-02-27 07:00:00+00:00,2026-02-27 09:00:00+00:00,87.31,86.6943,TRAIL,-0.7051884091169441,2.0,75.36842105263155,0.7120949210055426,0.0008023842274187398,1.391136650270662,1.0090752991161354
sol,2026-03-01 08:00:00+00:00,2026-03-01 13:00:00+00:00,85.22,86.9244,TP,2.000000000000008,5.0,64.38631790744469,0.5780340132282835,0.09228402973596528,1.3151776922285465,1.0128701439826133
