threshold_pct,n_trades,win_rate,sharpe,max_dd,delta_sharpe
0.3,40,0.375,-0.17723885373384826,-7.1558454246376355,-0.26067829390749375
0.5,35,0.34285714285714286,-0.18204817565625972,-6.334462508463119,-0.2654876158299052
0.75,27,0.37037037037037035,-0.435335393658573,-4.373621600312309,-0.5187748338322185
1.0,18,0.3888888888888889,-0.10576616717796526,-4.055068923392616,-0.18920560735161074
1.25,12,0.4166666666666667,0.0611904005948704,-3.6517253296475296,-0.02224903957877506
1.5,9,0.3333333333333333,-2.241473443102939,-2.9148119868863938,-2.324912883276584
1.7999999999999998,5,0.6,0.3227195141989516,-1.0000000000000024,0.23928007402530616
2.0,4,0.5,0.07262129205364043,-1.0000000000000024,-0.010818148120005033
2.5,3,0.3333333333333333,-7.6533451535049855,-1.9899999999999924,-7.736784593678631
3.0,1,0.0,0.0,0.0,-0.08343944017364546
