date,alignment,n_gates,spot_price,forward_ret_7d,forward_ret_30d,forward_vol_7d,forward_dd_7d,regime_alignment
2026-01-17 00:00:00+00:00,0.7491074823310667,9,95147.77,-6.224454866362084,-27.59427782700531,4.843802383752404,-7.062813978719628,UNSTABLE
2026-01-18 00:00:00+00:00,0.7797727839731909,9,93673.14,-7.475760927839081,-27.93716533896482,5.213687146243928,-7.475760927839081,UNSTABLE
2026-01-19 00:00:00+00:00,0.7995160104063586,9,92631.0,-4.624715268106783,-28.25188111971154,6.023708333136566,-6.434822035819543,UNSTABLE
2026-01-20 00:00:00+00:00,0.7556862204882514,9,88427.66,0.929957888742039,-24.227634204048833,4.096547644356051,-3.269968189824446,UNSTABLE
2026-01-21 00:00:00+00:00,0.7436951198697179,9,89454.73,-0.17298135045512586,-23.961527802945692,3.921204725007341,-3.269968189824446,UNSTABLE
2026-01-22 00:00:00+00:00,0.6952033659576345,9,89559.67,-5.481831275171056,-24.09984315484861,6.48668894476018,-5.524649147223448,UNSTABLE
2026-01-23 00:00:00+00:00,0.6472797123737561,9,89600.26,-5.959547438813228,-24.50535299785961,6.4314810486872345,-5.959547438813228,UNSTABLE
2026-01-24 00:00:00+00:00,0.6250478213261235,9,89225.34,-11.750305462551335,-27.536258197503084,8.53331564483083,-11.824077471901184,UNSTABLE
2026-01-25 00:00:00+00:00,0.6256882015121982,9,86670.36,-11.194311411652148,-26.089899707350927,8.459606448652156,-13.809385644948001,UNSTABLE
2026-01-26 00:00:00+00:00,0.5594268292118408,9,88347.08,-10.87582068360381,-23.044383583475547,8.645513550628078,-13.809385644948001,UNSTABLE
2026-01-27 00:00:00+00:00,0.43417795283055194,9,89250.0,-15.103406162464983,-24.386352941176483,8.28036467399915,-15.150931147920621,UNSTABLE
2026-01-28 00:00:00+00:00,0.34871200688916276,9,89299.99,-18.06737044427441,-26.235042131583665,7.862328873595334,-18.06737044427441,TRANSITION
2026-01-29 00:00:00+00:00,0.26676545857488915,9,84650.16,-25.68252676663576,-20.882299572735608,13.768787203250179,-25.68252676663576,TRANSITION
2026-01-30 00:00:00+00:00,0.23769651753029078,9,84260.49,-16.235640215242054,-21.936758260010127,21.330019221658112,-25.33883911664886,TRANSITION
2026-01-31 00:00:00+00:00,0.23441112032034048,9,78741.09,-12.00352954219962,-12.586859033828457,20.725468210854718,-20.105423991463667,TRANSITION
2026-02-01 00:00:00+00:00,0.24221936854574203,9,76968.21,-8.624118970676342,-11.212694175946158,20.91518311797692,-20.102907582442718,TRANSITION
2026-02-02 00:00:00+00:00,0.27997302755665104,9,78738.61,-10.922989369510084,-7.7113883519152715,20.596122899291395,-20.102907582442718,TRANSITION
2026-02-03 00:00:00+00:00,0.2842207791014651,9,75770.21,-9.144649328542197,-6.439852812866698,20.424490654779596,-16.97283140696061,TRANSITION
2026-02-04 00:00:00+00:00,0.2860541984022941,9,73165.83,-8.314413982592693,-6.9046028726797655,20.325587835078483,-14.017431361060218,TRANSITION
2026-02-05 00:00:00+00:00,0.23073691513078115,9,62909.86,5.344647087117971,6.919503556358264,13.689587717826768,-6.1038171296053605,TRANSITION
2026-02-06 00:00:00+00:00,0.23298618191722292,9,70580.26,-2.4458680089871954,-6.530239474889998,6.061408521266461,-6.1038171296053605,TRANSITION
2026-02-07 00:00:00+00:00,0.2319972297269256,9,69289.38,0.7700602891813846,-1.237159287613776,5.991785703723861,-5.770209118733616,TRANSITION
2026-02-08 00:00:00+00:00,0.24094535940409237,9,70330.38,-2.1296628853704536,-0.5427953041061362,5.923634316994537,-5.770209118733616,TRANSITION
2026-02-09 00:00:00+00:00,0.24960166920992305,9,70138.0,-1.7758846844791787,0.07679146824830507,5.935460957758062,-5.511748267700822,TRANSITION
2026-02-10 00:00:00+00:00,0.22670027688296066,9,68841.29,-1.9432668969451172,2.4695208355334453,5.990639781290094,-3.731946336275793,TRANSITION
2026-02-11 00:00:00+00:00,0.18342579498026546,9,67082.52,-0.926500674095132,5.735443450842337,5.611954838878559,-4.8149641342853595,STABLE
2026-02-12 00:00:00+00:00,0.18844220786474375,9,66272.17,1.1038721080055103,7.453777354808211,5.515812328618828,-4.8149641342853595,STABLE
2026-02-13 00:00:00+00:00,0.18920814660697144,9,68853.96,-1.2111866913682379,5.753162200111661,3.9283908803748555,-4.8149641342853595,STABLE
2026-02-14 00:00:00+00:00,0.18200616971914343,9,69822.95,-2.6452906959674505,7.249364284952153,3.492912851949357,-4.8149641342853595,STABLE
2026-02-15 00:00:00+00:00,0.18245865696765456,9,68832.58,-1.7276411838696215,7.375548032632229,3.2865021488500847,-3.52931374317903,STABLE
2026-02-16 00:00:00+00:00,0.17985772269588984,9,68892.43,-6.1493113249162406,3.417080802636807,5.2558767205733545,-6.1493113249162406,STABLE
2026-02-17 00:00:00+00:00,0.16473497090859973,9,67503.52,-5.10398568845003,3.5945977335700263,5.092735239781046,-5.824550746170121,STABLE
2026-02-18 00:00:00+00:00,0.14352869504853305,9,66461.0,2.2976482448353153,6.093393117768309,8.384783468001713,-5.824550746170121,STABLE
2026-02-19 00:00:00+00:00,0.1385678988746091,9,67003.73,0.7185420871345549,2.8571394458189125,8.431844967373134,-5.824550746170121,STABLE
