config,n_trades,n_wins,n_losses,win_rate_pct,avg_return_pct,total_return_pct,sharpe,max_dd_pct,tp_config
Fixed 2%,136,91,45,66.91176470588235,0.5893038918559651,118.70194848239306,2.7131774007152534,-19.812250980588136,"{'exhaustion': 0.02, 'late': 0.02, 'normal': 0.02}"
Marujo's v1,136,91,45,66.91176470588235,0.5433067229845872,105.66065085442928,2.55857361105618,-19.812250980588132,"{'exhaustion': 0.01, 'late': 0.015, 'normal': 0.02}"
Grid-optimized,136,91,45,66.91176470588235,0.5857643310162932,117.7046101125609,2.7148528966786825,-19.812250980588146,"{'exhaustion': np.float64(0.01), 'late': np.float64(0.015), 'normal': 0.02}"
