asset,horizon,n,corr,p_value,n_shocks,shock_return_mean_pct,baseline_return_mean_pct
BTC,1h,5534,-0.01207798296095517,0.3690142644336658,258,-0.054277025411594786,-0.0032834416230896907
BTC,4h,5531,0.0001783188280141783,0.9894213999047105,258,-0.1545789021858863,-0.016009154068320985
BTC,24h,5511,-0.0014958628545762326,0.911598971654367,258,0.02661161919195222,-0.14562496764580668
ETH,1h,8711,0.011936405122201205,0.26530613815283227,431,-0.021767435728349244,0.008240214353294207
ETH,4h,8708,0.031136221578912462,0.0036629708623238874,431,0.08728895038117755,0.024484262451290168
ETH,24h,8688,0.02740068977102898,0.010645808220419205,431,0.4550560424680169,0.150449736468942
SOL,1h,4822,-0.020561613202806903,0.15340934214009236,217,-0.11228665095401634,-0.01318529501084945
SOL,4h,4819,-0.027185954038078098,0.05914937916354968,217,-0.2911114185990609,-0.05939890573399074
SOL,24h,4799,-0.014410801082668708,0.31823215888712497,217,-0.3308601529120736,-0.42394085533212317
