volume_z_thr,rsi_thr,bb_thr,tp_exh_pct,tp_late_pct,n_exh,n_late,sharpe,win_rate,total_return,max_dd
0.5,60,0.8,1.0,1.5,26,35,2.3030730673998283,66.91176470588235,85.54685611144338,-19.812250980588157
0.5,60,0.8,0.8,1.5,26,35,2.1976748428819026,66.91176470588235,79.75464981134905,-19.812250980588157
0.5,60,0.8,1.0,1.3,26,35,2.1630790657377394,66.91176470588235,76.96821678985448,-19.812250980588132
0.5,60,0.8,1.0,1.8,26,35,2.455959969550228,66.91176470588235,96.69760650283867,-19.812250980588132
0.5,60,0.8,1.2,1.5,26,35,2.3657928012817266,66.91176470588235,89.48824589401059,-19.812250980588153
0.5,60,0.8,1.5,1.5,26,35,2.4176014085000324,66.91176470588235,93.41848825666929,-19.81225098058812
0.5,60,0.85,1.0,1.5,26,24,2.3808783897194123,66.91176470588235,91.09898360145164,-19.812250980588146
0.5,60,0.85,0.8,1.5,26,24,2.276539302896555,66.91176470588235,85.13345683395342,-19.812250980588157
0.5,60,0.85,1.0,1.3,26,24,2.2774431839579674,66.91176470588235,84.4334257773794,-19.812250980588146
0.5,60,0.85,1.0,1.8,26,24,2.4849417330977874,66.91176470588235,99.02766040312618,-19.812250980588118
0.5,60,0.85,1.2,1.5,26,24,2.4428919540112357,66.91176470588235,95.15831177984624,-19.81225098058814
0.5,60,0.85,1.5,1.5,26,24,2.493988178576775,66.91176470588235,99.20615897355117,-19.812250980588157
0.5,60,0.9,1.0,1.5,26,8,2.422198744200428,66.91176470588235,95.1670705435508,-19.812250980588136
0.5,60,0.9,0.8,1.5,26,8,2.319044686995715,66.91176470588235,89.07455052319351,-19.812250980588132
0.5,60,0.9,1.0,1.3,26,8,2.3995750273375944,66.91176470588235,93.6333485380278,-19.812250980588146
0.5,60,0.9,1.0,1.8,26,8,2.4536462644911556,66.91176470588235,97.4847144785359,-19.812250980588146
0.5,60,0.9,1.2,1.5,26,8,2.483547956742261,66.91176470588235,99.31281310074031,-19.81225098058812
0.5,60,0.9,1.5,1.5,26,8,2.5341398833432196,66.91176470588235,103.44683026773308,-19.812250980588196
0.5,60,0.92,1.0,1.5,26,6,2.422198744200428,66.91176470588235,95.1670705435508,-19.812250980588136
0.5,60,0.92,0.8,1.5,26,6,2.319044686995715,66.91176470588235,89.07455052319351,-19.812250980588132
0.5,60,0.92,1.0,1.3,26,6,2.3995750273375944,66.91176470588235,93.6333485380278,-19.812250980588146
0.5,60,0.92,1.0,1.8,26,6,2.4536462644911556,66.91176470588235,97.4847144785359,-19.812250980588146
0.5,60,0.92,1.2,1.5,26,6,2.483547956742261,66.91176470588235,99.31281310074031,-19.81225098058812
0.5,60,0.92,1.5,1.5,26,6,2.5341398833432196,66.91176470588235,103.44683026773308,-19.812250980588196
0.5,60,0.95,1.0,1.5,26,2,2.47294007643032,66.91176470588235,99.04123672320131,-19.81225098058817
0.5,60,0.95,0.8,1.5,26,2,2.3703871018332245,66.91176470588235,92.82777706407217,-19.812250980588125
0.5,60,0.95,1.0,1.3,26,2,2.47294007643032,66.91176470588235,99.04123672320131,-19.81225098058817
0.5,60,0.95,1.0,1.8,26,2,2.47294007643032,66.91176470588235,99.04123672320131,-19.81225098058817
0.5,60,0.95,1.2,1.5,26,2,2.5338851588591913,66.91176470588235,103.26927439072837,-19.812250980588146
0.5,60,0.95,1.5,1.5,26,2,2.584064433456951,66.91176470588235,107.48535391306562,-19.812250980588153
0.5,60,0.98,1.0,1.5,26,0,2.47294007643032,66.91176470588235,99.04123672320131,-19.81225098058817
0.5,60,0.98,0.8,1.5,26,0,2.3703871018332245,66.91176470588235,92.82777706407217,-19.812250980588125
0.5,60,0.98,1.0,1.3,26,0,2.47294007643032,66.91176470588235,99.04123672320131,-19.81225098058817
0.5,60,0.98,1.0,1.8,26,0,2.47294007643032,66.91176470588235,99.04123672320131,-19.81225098058817
0.5,60,0.98,1.2,1.5,26,0,2.5338851588591913,66.91176470588235,103.26927439072837,-19.812250980588146
0.5,60,0.98,1.5,1.5,26,0,2.584064433456951,66.91176470588235,107.48535391306562,-19.812250980588153
0.5,65,0.8,1.0,1.5,26,23,2.375009119598718,66.91176470588235,90.86706611259939,-19.812250980588146
0.5,65,0.8,0.8,1.5,26,23,2.270726894788926,66.91176470588235,84.9087791009677,-19.812250980588125
0.5,65,0.8,1.0,1.3,26,23,2.2831399939030743,66.91176470588235,84.93769806796921,-19.812250980588153
0.5,65,0.8,1.0,1.8,26,23,2.463425003776998,66.91176470588235,97.61621961816955,-19.81225098058817
0.5,65,0.8,1.2,1.5,26,23,2.437010484745617,66.91176470588235,94.9214678953648,-19.812250980588157
0.5,65,0.8,1.5,1.5,26,23,2.488128352193622,66.91176470588235,98.96440262674932,-19.812250980588146
0.5,65,0.85,1.0,1.5,26,15,2.4263035901284478,66.91176470588235,94.65587500481227,-19.812250980588146
0.5,65,0.85,0.8,1.5,26,15,2.322674392171934,66.91176470588235,88.5793129482932,-19.81225098058814
0.5,65,0.85,1.0,1.3,26,15,2.3580305201215266,66.91176470588235,90.10272981444325,-19.812250980588143
0.5,65,0.85,1.0,1.8,26,15,2.482719377393086,66.91176470588235,99.17377835153557,-19.81225098058817
0.5,65,0.85,1.2,1.5,26,15,2.487868397880862,66.91176470588235,98.79075873682154,-19.812250980588118
0.5,65,0.85,1.5,1.5,26,15,2.5385439808789805,66.91176470588235,102.91394779061385,-19.81225098058814
0.5,65,0.9,1.0,1.5,26,5,2.4476223350631137,66.91176470588235,97.09463485501742,-19.812250980588125
0.5,65,0.9,0.8,1.5,26,5,2.3447736235656835,66.91176470588235,90.94194216246987,-19.81225098058815
0.5,65,0.9,1.0,1.3,26,5,2.43635805969216,66.91176470588235,96.31867247886457,-19.812250980588185
0.5,65,0.9,1.0,1.8,26,5,2.4633017934356003,66.91176470588235,98.26144810259045,-19.81225098058812
0.5,65,0.9,1.2,1.5,26,5,2.5087663488665504,66.91176470588235,101.28132276930795,-19.812250980588118
0.5,65,0.9,1.5,1.5,26,5,2.559148922223935,66.91176470588235,105.4561694877815,-19.812250980588153
0.5,65,0.92,1.0,1.5,26,4,2.4476223350631137,66.91176470588235,97.09463485501742,-19.812250980588125
0.5,65,0.92,0.8,1.5,26,4,2.3447736235656835,66.91176470588235,90.94194216246987,-19.81225098058815
0.5,65,0.92,1.0,1.3,26,4,2.43635805969216,66.91176470588235,96.31867247886457,-19.812250980588185
