entry_idx,entry_price,entry_ts,entry_mode,entry_rsi,entry_bb,entry_ret_1d,entry_sz,entry_delay_pct,trailing_high,sl,tp,exit_ts,exit_price,exit_reason,hold_hours,pnl_pct,fast_sl,label
1126,64435.03,2026-02-24 19:00:00+00:00,classic,76.40161318488632,0.8231004719241789,0.0021763711387026152,1.4234371605213947,0.030790935506927797,64591.99,63468.50455,65723.7306,2026-02-24 21:00:00+00:00,64435.03,TRAIL,2,0.0,False,baseline
1134,65391.73,2026-02-25 03:00:00+00:00,classic,77.20508436452926,0.8735586766596285,0.028244446817078828,1.8845245359987408,0.04609561819271968,65650.0,64410.85405,66699.5646,2026-02-25 05:00:00+00:00,65391.73,TRAIL,2,0.0,False,baseline
1137,64898.22,2026-02-25 06:00:00+00:00,classic,58.17239134476176,0.6557126141798667,0.02877853056277324,1.8845245359987408,0.038200756739531494,66240.0,63924.7467,66196.1844,2026-02-25 12:00:00+00:00,66196.1844,TP,6,0.020000000000000018,False,baseline
1160,68443.81,2026-02-26 05:00:00+00:00,classic,61.6051538457881,0.6182928842105528,0.054884379147865925,1.5977986317453161,0.05653848849310861,68644.59,67417.15285,69812.6862,2026-02-26 09:00:00+00:00,68443.81,TRAIL,4,0.0,False,baseline
1221,65911.84,2026-02-28 18:00:00+00:00,classic,51.652642073769044,0.7693804953630765,0.009141578411985263,1.3526423020608735,0.045721719815960515,66666.65,64923.162399999994,67230.0768,2026-02-28 19:00:00+00:00,65999.98349999999,TRAIL,1,0.0013372938761835318,False,baseline
1223,66959.62,2026-02-28 20:00:00+00:00,classic,80.56961436135786,0.9676380242538312,0.02080885535364385,1.3526423020608735,0.06234523242900192,67055.56,65955.2257,68298.8124,2026-02-28 21:00:00+00:00,66959.62,TRAIL,1,0.0,False,baseline
1225,67103.64,2026-02-28 22:00:00+00:00,classic,81.41971889494671,0.9234815856903804,0.022329294361390417,1.3526423020608735,0.06463017610661592,67703.32,66097.0854,68445.7128,2026-03-01 01:00:00+00:00,66097.0854,SL,3,-0.015000000000000013,True,baseline
1229,67620.65,2026-03-01 02:00:00+00:00,classic,79.81703300884186,0.8781571668281924,0.02515905958554665,1.3151776922285734,0.072832778042202,67813.33,66606.34025,68973.063,2026-03-01 08:00:00+00:00,66606.34025,SL,6,-0.015000000000000013,False,baseline
1265,67177.06,2026-03-02 14:00:00+00:00,classic,56.80803976343496,0.9772521240402989,0.004925517369307464,1.8808897958865354,0.03260360304968013,69617.74,66169.4041,68520.6012,2026-03-02 15:00:00+00:00,68520.6012,TP,1,0.020000000000000018,False,baseline
1269,68877.67,2026-03-02 18:00:00+00:00,classic,64.62079721445143,0.9034559902591868,0.03861523537840994,1.8808897958865354,0.05874431259222823,69505.0,67844.50495,70255.2234,2026-03-02 20:00:00+00:00,68877.67,TRAIL,2,0.0,False,baseline
