timestamp,beta_btc,beta_eth
2025-10-08 00:00:00+00:00,0.4890763916580706,0.7285079579141026
2025-10-09 00:00:00+00:00,0.44734261305880235,0.7441343581454511
2025-10-10 00:00:00+00:00,0.4870131920343349,0.6983477604930602
2025-10-11 00:00:00+00:00,0.7488023010924476,0.566427265411553
2025-10-12 00:00:00+00:00,0.6547485796699115,0.6378177122233184
2025-10-13 00:00:00+00:00,0.7475487500980479,0.6464131199052385
2025-10-14 00:00:00+00:00,0.6822614244073317,0.6997062151022921
2025-10-15 00:00:00+00:00,0.6597664180615118,0.7515073591264821
2025-10-16 00:00:00+00:00,0.686099217263322,0.7368073219432211
2025-10-17 00:00:00+00:00,0.71866065159378,0.7527418046877805
2025-10-18 00:00:00+00:00,0.42296366958623144,0.9373147003603993
2025-10-19 00:00:00+00:00,0.6283838336102197,0.8535524069987223
2025-10-20 00:00:00+00:00,0.3957686965398063,0.9704605683126779
2025-10-21 00:00:00+00:00,0.43351088728503906,0.943526457516724
2025-10-22 00:00:00+00:00,0.3789670587737263,0.8898061215629589
2025-10-23 00:00:00+00:00,0.368878597583029,0.8976198639021779
2025-10-24 00:00:00+00:00,0.4389160945665365,0.7718403108038093
2025-10-25 00:00:00+00:00,0.44531632403590293,0.6836301718895746
2025-10-26 00:00:00+00:00,0.4432489841065736,0.6831605847692324
2025-10-27 00:00:00+00:00,0.5129163973813822,0.6044115390853889
2025-10-28 00:00:00+00:00,0.6030725742320969,0.5087971276068353
2025-10-29 00:00:00+00:00,0.5894746075228656,0.5699342760599994
2025-10-30 00:00:00+00:00,0.6675221226599459,0.5631741675954427
2025-10-31 00:00:00+00:00,0.7029684653951117,0.6006019939793347
2025-11-01 00:00:00+00:00,0.6213030339696887,0.6853628192263574
2025-11-02 00:00:00+00:00,0.6169487019314834,0.6872945714271078
2025-11-03 00:00:00+00:00,0.5528704653030814,0.7612317429130833
2025-11-04 00:00:00+00:00,0.3948610655167798,0.9533407845664899
2025-11-05 00:00:00+00:00,0.7615472040004255,0.6581102967155694
2025-11-06 00:00:00+00:00,0.7719558199263998,0.6458360144168795
2025-11-07 00:00:00+00:00,0.7229118919584462,0.6588623199362483
2025-11-08 00:00:00+00:00,0.7423081931328352,0.6475030740026365
2025-11-09 00:00:00+00:00,0.7706095977485969,0.6271165798649146
2025-11-10 00:00:00+00:00,0.8559338848144309,0.579698109695983
2025-11-11 00:00:00+00:00,0.8542385897975786,0.5255367391856479
2025-11-12 00:00:00+00:00,0.6267907161872192,0.6782016654952518
2025-11-13 00:00:00+00:00,0.612661635527428,0.6556010277690197
2025-11-14 00:00:00+00:00,0.6104380482067675,0.63554346705692
2025-11-15 00:00:00+00:00,0.5433806110775482,0.6526142870383439
2025-11-16 00:00:00+00:00,0.47943766200078086,0.690557846687852
2025-11-17 00:00:00+00:00,0.30784022981996584,0.7813669560768629
2025-11-18 00:00:00+00:00,0.32978029792176117,0.763141852786803
2025-11-19 00:00:00+00:00,0.1836663425003766,0.8031817453676752
2025-11-20 00:00:00+00:00,0.15654460542196197,0.7943366494708216
