g1_taker.taker_z_4h_min,g2_oi_bipolar.oi_z_1h_min,g2_oi_bipolar.oi_z_24h_block,filters.rsi_min,filters.rsi_max,n_trades,sharpe,win_rate,avg_return,total_return,max_dd,profit_factor
0.0,0.3,2.0,50,80,38,0.8184602018693797,44.73684210526316,0.10459297459935488,3.886122863106012,-3.8917749614902464,1.3560456339352378
0.3,-0.5,3.0,50,85,57,0.8067690199145167,47.368421052631575,0.09609204491757459,5.407152540623739,-5.332236307736746,1.3431235499975929
0.0,-0.5,2.0,55,80,48,0.7786254450070429,45.83333333333333,0.09618357141403291,4.525195726665143,-2.888199068045073,1.3431123404045706
0.0,-0.5,3.0,50,80,68,0.7552991884523013,48.529411764705884,0.09274819237412033,6.225562842171084,-5.449107112890974,1.3165330420609547
0.3,-0.5,2.5,55,85,47,0.7362750767756847,42.5531914893617,0.09228179932199293,4.2320269355384355,-3.6602322897830435,1.3167474884103592
-0.5,0.3,2.0,50,85,45,0.7197877313364529,44.44444444444444,0.09193694567367106,4.024921893824174,-3.8917749614902464,1.3068028118089248
0.0,-0.5,2.0,60,80,41,0.7026842957839834,43.90243902439025,0.08607715170383308,3.426481125045644,-3.400608204702512,1.3160668336250214
0.3,-0.5,2.5,50,80,53,0.6999838260077657,47.16981132075472,0.08576859828448681,4.434035558250704,-5.332236307736739,1.2898079123909827
-0.5,-0.5,2.0,55,85,58,0.695034276000252,44.827586206896555,0.08478742565227043,4.804913961756352,-3.121041907025337,1.3044042171222228
-0.5,0.3,2.0,50,80,45,0.6884723147457863,44.44444444444444,0.08830033215417467,3.8533257305476187,-3.8917749614902464,1.2911339406056193
0.0,-0.5,2.5,50,80,64,0.67848177135022,46.875,0.08456658087079946,5.288674262523463,-5.449107112890976,1.2835638249995056
0.3,-0.5,2.0,60,85,36,0.6748080211550559,38.88888888888889,0.08790160302510713,3.051263642960711,-4.9057407558877015,1.2946699904958858
0.0,-0.5,3.0,50,85,69,0.6550732414701761,46.3768115942029,0.07978958963210458,5.378905682477342,-5.449107112890974,1.2725159447672825
0.0,-0.5,2.5,55,80,53,0.6264510627421407,45.28301886792453,0.07480162719042936,3.8400713615932114,-2.888199068045073,1.2668354689815968
0.0,-0.5,3.0,55,80,57,0.6148272850371161,45.614035087719294,0.07208067491086062,3.982310392889943,-2.88819906804508,1.2588786497888091
0.0,-0.5,2.5,50,85,65,0.5741294386035674,44.61538461538462,0.07093639659855691,4.44948445251987,-5.449107112890976,1.2381137579016945
0.3,-0.5,2.5,50,85,54,0.5719331809554257,44.44444444444444,0.06933963541208954,3.6016575359052228,-5.332236307736739,1.234565182741839
