horizon,sol_abs_corr,btc_abs_corr,eth_abs_corr,avg_btc_eth,sol_vs_avg,h2_supported
1h,0.020561613202806903,0.01207798296095517,0.011936405122201205,0.012007194041578188,1.71x,True
4h,0.027185954038078098,0.0001783188280141783,0.031136221578912462,0.01565727020346332,1.74x,True
24h,0.014410801082668708,0.0014958628545762326,0.02740068977102898,0.014448276312802606,1.00x,False
