entry_time,entry_price,rsi_14,bb_pct,ret_1d,ret_3h,ret_1h,stablecoin_z,atr_pct,volume_z,oi_z,funding_z,taker_z,hour_of_day,day_of_week,is_weekend,candle_body,upper_wick,lower_wick,close_vs_ma21,close_vs_ma200,trend_slope_3h,exit_reason,return_pct,hours_held,is_winner,cluster
2026-02-26 05:00:00+00:00,68443.81,61.6051538457881,0.6182928842105528,0.054884379147865925,0.0027302514231046793,-0.0018601060267727787,1.5977986317453197,0.011615189995163278,-0.9169497341648415,-1.1659115945785963,0.691030399107151,-1.3873722045066728,5,3,0,-0.28741071227376913,2.2533180095899415e-05,0.7125667545459097,0.010068264990829889,0.02569057125847623,0.0016579293291823485,SL,-0.015,9,False,1
2026-02-28 22:00:00+00:00,67103.64,81.41971889494671,0.9234815856903804,0.022329294361390417,0.01117552045213821,0.0057014634485565985,1.3526423020608762,0.01205357222691007,0.646388211443018,0.8589554143102541,0.8758909914824268,-0.12347193106196581,22,5,1,0.3304522316231803,0.5701627894855258,0.09938497889120701,0.03082397357143192,0.009398826983640545,0.001073116152864317,SL,-0.015,3,False,0
2026-03-01 02:00:00+00:00,67620.65,79.81703300884186,0.8781571668281924,0.02515905958554665,0.009666395215045531,0.004177200377312618,1.3151776922285465,0.013538077073032756,1.3496063687539377,1.4893772618135932,1.3302848474605613,-1.7169060065060038,2,6,1,0.3268419646072753,0.6731580353926084,0.0,0.034443982962237156,0.01734357179145463,0.006132446227594675,SL,-0.015,6,False,0
2026-03-01 03:00:00+00:00,67502.16,73.61776547457882,0.8218904957155843,0.025908918617173926,0.010643154219659667,-0.0017522753774178446,1.3151776922285465,0.012593882710039006,-0.4471431865412871,1.2974801574658281,1.1854181873385221,-1.4344301049108386,3,6,1,-0.2866716667068965,0.46616504971804645,0.24716328357481515,0.029417194950781368,0.015571896751318981,0.001205887337531242,SL,-0.015,5,False,0
2026-03-01 04:00:00+00:00,67346.5,81.94083863503676,0.7703630192655057,0.025635363491270713,0.00010603011374032967,-0.0023060002820650682,1.3151776922285465,0.012040470869734466,-0.45177793729824745,-0.2397397228621003,1.8046316376864993,-2.334114960192506,4,6,1,-0.2921656218326037,0.2064266676676593,0.5014077104995492,0.02442433935918495,0.013260774013139309,-0.0020353693213456415,SL,-0.015,5,False,0
2026-03-01 05:00:00+00:00,67292.09,79.13913347423257,0.7391523378594037,0.0259343388874973,-0.004858870773942536,-0.0008079113242708269,1.3151776922285465,0.01157668435791318,-0.7444826020070314,-0.42575196389329734,1.7157182151227992,-1.8367758850638687,5,6,1,-0.14522888028824188,0.6089683704789453,0.245802749232546,0.020773097565227255,0.012482805300767091,-0.0015608818213254804,SL,-0.015,4,False,0
2026-03-01 08:00:00+00:00,66560.14,57.54496955475475,0.5220552531623148,0.04863243241880677,-0.010877207113049958,-0.008657104060550425,1.3151776922285465,0.011411280513704271,0.6816028945376643,-0.7089912975310896,1.1192105843130198,-0.10944486586813708,8,6,1,-0.6437201678903282,0.16711518655103916,0.18916464555852192,0.0030655019785235257,0.0017193311295101855,-0.002753449737335391,SL,-0.015,12,False,1
2026-03-02 18:00:00+00:00,68877.67,64.62079721445143,0.9034559902591868,0.03861523537840994,-0.003652962091820977,-0.004629180034105063,1.8808897958865394,0.012625385598222795,-0.25059761773923145,1.042075170584223,-1.179686306087714,0.40647663349487045,18,0,0,-0.592852383772481,0.1298304708320665,0.27731714539526736,0.030718911068861543,0.040562841775054495,-0.003999481980154273,SL,-0.015,12,False,1
2026-03-03 03:00:00+00:00,68377.94,71.95575264886236,0.5595270700226935,0.023315014973803505,-0.010347520612833061,-0.0019592139615486337,2.1882939314314913,0.012572141583340229,-0.7293521640873278,-1.3508944928379882,1.3154804078898896,-1.063735448847163,3,1,0,-0.4214045772767221,0.11876432361155938,0.45983109911140463,0.006368610557710647,0.032100777392125614,-0.002793810401424819,SL,-0.015,5,False,1
2026-03-03 04:00:00+00:00,68123.2,59.08307188963628,0.49796608478343535,0.018860903602817336,-0.009261342457628996,-0.003725470524558183,2.1882939314314913,0.010986523575773652,-0.7052344266862958,-1.9138005747267308,2.098503430946528,-0.2647807399878932,4,1,0,-0.6297340057350432,0.18958271531687582,0.18068327894783373,0.001134968022353064,0.028199732120668012,-0.0028549011203231928,SL,-0.015,4,False,1
