asset,shock_threshold,horizon,n_pos_shocks,n_neg_shocks,pos_shock_fwd_return_pct,neg_shock_fwd_return_pct,reversion_strength_pct,pos_p_value,neg_p_value
BTC,±2.0σ,1h,146,170,0.049147268100841066,-0.10938551081368071,-0.15853277891452178,0.4187610918355291,0.10441019824078895
BTC,±2.0σ,4h,146,170,0.0638159313479776,-0.2455668227978122,-0.3093827541457898,0.4755592346811917,0.026205016159148605
BTC,±2.0σ,24h,145,170,-0.28115166185770024,-0.04304901882570005,0.23810264303200018,0.16430409548617034,0.8352857847315882
BTC,±3.0σ,1h,43,63,0.2067307557810488,-0.023078377416315143,-0.22980913319736396,0.13527220342468096,0.8374119656305073
BTC,±3.0σ,4h,43,63,-0.13648065354888278,-0.2012736688010086,-0.06479301525212583,0.47139242901214723,0.30706233976907976
BTC,±3.0σ,24h,43,63,-0.19600101026538072,-0.15654741448074355,0.039453595784637155,0.5364375008385496,0.6302660400562234
ETH,±2.0σ,1h,225,229,0.09816774437065867,-0.0766257382259286,-0.17479348259658725,0.18348945895069552,0.34692638539306736
ETH,±2.0σ,4h,225,229,0.19597674757557362,-0.24532273476917157,-0.44129948234474525,0.09297701548294185,0.07460524199810456
ETH,±2.0σ,24h,225,229,0.670975287627123,-0.09721452538151355,-0.7681898130086365,0.008474129163716397,0.6888588151757369
ETH,±3.0σ,1h,76,88,0.2723675901488524,-0.02085496395821976,-0.29322255410707215,0.02088194850342624,0.8779619863058156
ETH,±3.0σ,4h,76,88,0.28431301732200753,-0.1306787761747569,-0.41499179349676446,0.10586052186257959,0.5487927352853471
ETH,±3.0σ,24h,76,88,1.1220726591446704,-0.30759883941047433,-1.4296714985551446,0.016387534845748276,0.43015146443481195
SOL,±2.0σ,1h,132,147,0.13751593346239585,0.007617641688766269,-0.12989829177362958,0.18854117427370193,0.9452171025105788
SOL,±2.0σ,4h,132,147,0.16676907340842548,-0.4088519849099043,-0.5756210583183298,0.3040487271159286,0.03117758016705321
SOL,±2.0σ,24h,132,147,-0.3722041293995478,-0.13353682929976796,0.23866730009977985,0.26654930382175296,0.729369580298993
SOL,±3.0σ,1h,33,47,0.07216773873990838,-0.054042535338732926,-0.1262102740786413,0.8028377064680929,0.8137859485075501
SOL,±3.0σ,4h,33,47,-0.21870556435673524,-0.4192775613706603,-0.20057199701392506,0.5985891337085506,0.25825391313588864
SOL,±3.0σ,24h,33,47,-0.370891826853508,-0.07457817556021704,0.296313651293291,0.6130937089117642,0.9197064924686884
