entry_idx,entry_price,entry_ts,entry_mode,entry_rsi,entry_bb,entry_ret_1d,entry_sz,entry_delay_pct,trailing_high,sl,tp,exit_ts,exit_price,exit_reason,hold_hours,pnl_pct,fast_sl,label
1124,64219.71,2026-02-24 17:00:00+00:00,early,61.168046718975376,0.707922217232256,-0.009157848255125667,1.4234371605213947,0.027346382067077624,64743.11,63256.41435,65504.1042,2026-02-24 21:00:00+00:00,64219.71,TRAIL,4,0.0,False,v2
1134,65391.73,2026-02-25 03:00:00+00:00,classic,77.20508436452926,0.8735586766596285,0.028244446817078828,1.8845245359987408,0.04609561819271968,65650.0,64410.85405,66699.5646,2026-02-25 05:00:00+00:00,65391.73,TRAIL,2,0.0,False,v2
1137,64898.22,2026-02-25 06:00:00+00:00,classic,58.17239134476176,0.6557126141798667,0.02877853056277324,1.8845245359987408,0.038200756739531494,66240.0,63924.7467,66196.1844,2026-02-25 12:00:00+00:00,66196.1844,TP,6,0.020000000000000018,False,v2
1144,66248.62,2026-02-25 13:00:00+00:00,classic,73.46940524785384,0.913288663403489,0.05323720190779002,1.8845245359987408,0.055552537099262,67009.78,65254.890699999996,67573.5924,2026-02-25 14:00:00+00:00,66339.6822,TRAIL,1,0.0013745524057708902,False,v2
1150,69038.26,2026-02-25 19:00:00+00:00,classic,91.13704759639484,0.9607989058707079,0.07143986741373443,1.8845245359987408,0.08175680228139859,69374.95,68002.68609999999,70419.02519999999,2026-02-25 20:00:00+00:00,69038.26,TRAIL,1,0.0,False,v2
1152,68919.72,2026-02-25 21:00:00+00:00,classic,87.09887771559582,0.8448382081194462,0.07615330156492561,1.8845245359987408,0.07933302210245596,69176.0,67885.9242,70298.1144,2026-02-25 22:00:00+00:00,68919.72,TRAIL,1,0.0,False,v2
1154,67988.04,2026-02-25 23:00:00+00:00,classic,71.51399326592757,0.6600329593916793,0.06134879012272432,1.8845245359987408,0.06375467880144448,68539.17,66968.21939999999,69347.8008,2026-02-26 00:00:00+00:00,67988.04,TRAIL,1,0.0,False,v2
1156,68248.3,2026-02-26 01:00:00+00:00,classic,73.9056010965866,0.6595599555864804,0.03568537143334094,1.5977986317453161,0.053942181685317836,68860.0,67224.5755,69613.266,2026-02-26 05:00:00+00:00,68248.3,TRAIL,4,0.0,False,v2
1182,67600.84,2026-02-27 03:00:00+00:00,early,45.56411787840274,0.505610898734182,-0.00903031889770367,1.391136650270659,0.0165539849624059,68216.8,66586.8274,68952.8568,2026-02-27 06:00:00+00:00,67600.84,TRAIL,3,0.0,False,v2
1186,67690.6,2026-02-27 07:00:00+00:00,early,69.14654041205777,0.6485012026893686,-0.0019821588015279668,1.391136650270659,0.01790375939849631,68149.93,66675.24100000001,69044.41200000001,2026-02-27 09:00:00+00:00,67690.6,TRAIL,2,0.0,False,v2
1220,65442.62,2026-02-28 17:00:00+00:00,early,47.5318260869473,0.6533514862094371,-0.003965865279904945,1.3526423020608735,0.03827732825638597,66157.61,64460.9807,66751.4724,2026-02-28 18:00:00+00:00,65496.0339,TRAIL,1,0.0008161944005298238,False,v2
1222,66362.01,2026-02-28 19:00:00+00:00,classic,54.87931143597532,0.8674808002266158,0.014830978260703231,1.3526423020608735,0.05286387434554962,67151.68,65366.579849999995,67689.2502,2026-02-28 20:00:00+00:00,66480.1632,TRAIL,1,0.0017804343177669768,False,v2
1224,66723.22,2026-02-28 21:00:00+00:00,classic,75.19540829635531,0.8810506885999505,0.018246207437203177,1.3526423020608735,0.05859463747421856,67760.0,65722.3717,68057.6844,2026-02-28 22:00:00+00:00,67082.4,TRAIL,1,0.005383133487862235,False,v2
1226,66973.26,2026-02-28 23:00:00+00:00,classic,78.96307791243572,0.8648445008939355,0.016716637240956178,1.3526423020608735,0.06256163731556397,67703.32,65968.6611,68312.7252,2026-03-01 01:00:00+00:00,67026.2868,TRAIL,2,0.0007917607713885388,False,v2
1229,67620.65,2026-03-01 02:00:00+00:00,classic,79.81703300884186,0.8781571668281924,0.02515905958554665,1.3151776922285734,0.072832778042202,67813.33,66606.34025,68973.063,2026-03-01 08:00:00+00:00,66606.34025,SL,6,-0.015000000000000013,False,v2
1260,66168.62,2026-03-02 09:00:00+00:00,early,52.163034891429554,0.471314982502069,-0.0036358938281659814,1.8808897958865354,0.017102496310870574,67220.81,65176.09069999999,67491.9924,2026-03-02 14:00:00+00:00,66548.6019,TRAIL,5,0.0057426299656846425,False,v2
1269,68877.67,2026-03-02 18:00:00+00:00,classic,64.62079721445143,0.9034559902591868,0.03861523537840994,1.8808897958865354,0.05874431259222823,69505.0,67844.50495,70255.2234,2026-03-02 20:00:00+00:00,68877.67,TRAIL,2,0.0,False,v2
1272,69413.82,2026-03-02 21:00:00+00:00,classic,75.90618012562466,0.8646019842174526,0.057070760908960905,1.8808897958865354,0.06698567388096421,69501.62,68372.61270000001,70802.09640000001,2026-03-02 23:00:00+00:00,69413.82,TRAIL,2,0.0,False,v2
1275,69092.88,2026-03-03 00:00:00+00:00,classic,70.00755197747989,0.7278896767468336,0.038966928876212226,2.188293931431487,0.05874527135710039,69258.08,68056.4868,70474.73760000001,2026-03-03 04:00:00+00:00,68056.4868,SL,4,-0.015000000000000124,True,v2
1293,68628.49,2026-03-03 18:00:00+00:00,early,54.53774765922375,0.7440650790953104,-0.0036177181951710935,2.188293931431487,0.03734227153178771,68909.34,67599.06265,70001.0598,2026-03-04 01:00:00+00:00,68628.49,TRAIL,7,0.0,False,v2
1304,68206.59,2026-03-04 05:00:00+00:00,classic,56.822012974827956,0.6348391638905982,0.003809397662174252,2.5463851485084197,0.030965113818434586,69668.0,67183.49115,69570.7218,2026-03-04 07:00:00+00:00,69570.7218,TP,2,0.020000000000000018,False,v2
1310,71111.4,2026-03-04 11:00:00+00:00,classic,76.88495519723872,0.9394520249558609,0.060942810624019295,2.5463851485084197,0.07487227546177322,71364.14,70044.72899999999,72533.628,2026-03-04 12:00:00+00:00,71111.4,TRAIL,1,0.0,False,v2
1312,71477.17,2026-03-04 13:00:00+00:00,classic,77.09399614367618,0.890600596698593,0.06791828816737633,2.5463851485084197,0.08040100970404174,72633.0,70405.01245,72906.7134,2026-03-04 14:00:00+00:00,71906.67,TRAIL,1,0.006008911656687044,False,v2
1315,73294.84,2026-03-04 16:00:00+00:00,classic,84.63708986324671,0.9487859235179512,0.07508430398425259,2.5463851485084197,0.08746053412462906,73759.99,72195.41739999999,74760.7368,2026-03-04 17:00:00+00:00,73294.84,TRAIL,1,0.0,False,v2
1317,73693.5,2026-03-04 18:00:00+00:00,classic,91.70702640725416,0.8926432655550203,0.07380331404639673,2.5463851485084197,0.09337537091988124,74050.0,72588.0975,75167.37,2026-03-04 20:00:00+00:00,73693.5,TRAIL,2,0.0,False,v2
1320,73309.72,2026-03-04 21:00:00+00:00,classic,80.10465587713377,0.7557994444245325,0.07769392905098194,2.5463851485084197,0.08768130563798215,73523.31,72210.0742,74775.91440000001,2026-03-04 22:00:00+00:00,73309.72,TRAIL,1,0.0,False,v2
1322,72666.77,2026-03-04 23:00:00+00:00,classic,61.566068317911494,0.6416178967985502,0.06334352775907992,2.5463851485084197,0.07814198813056383,73306.82,71576.76845,74120.1054,2026-03-05 01:00:00+00:00,72666.77,TRAIL,2,0.0,False,v2
1325,72506.19,2026-03-05 02:00:00+00:00,classic,62.50632563962126,0.5504791291238328,0.06122154760313947,2.5896148668183625,0.07575949554896155,73081.08,71418.59715,73956.3138,2026-03-05 05:00:00+00:00,72506.19,TRAIL,3,0.0,False,v2
1333,73388.92,2026-03-05 10:00:00+00:00,classic,54.63554874831742,0.7802378269549747,0.02859188338099572,2.5896148668183625,0.039679832266107606,73449.96,72288.08619999999,74856.6984,2026-03-05 13:00:00+00:00,72288.08619999999,SL,3,-0.015000000000000124,True,v2
1354,71056.44,2026-03-06 07:00:00+00:00,early,55.93840776512965,0.4217397206651998,-0.013865145616920205,2.358540221064069,0.013019795649442223,71067.58,69990.5934,72477.56880000001,2026-03-06 12:00:00+00:00,69990.5934,SL,5,-0.015000000000000013,True,v2
1385,68016.7,2026-03-07 14:00:00+00:00,early,41.40939302454764,0.4400473935304069,-0.005747560769356674,2.0818669740614473,0.008455453744683927,68034.67,66996.4495,69377.034,2026-03-07 19:00:00+00:00,66996.4495,SL,5,-0.014999999999999902,True,v2
1401,67161.52,2026-03-08 06:00:00+00:00,early,38.84479796872996,0.33034899471414425,-0.007819962695111204,1.8333298887612595,0.009232100848796776,68200.0,66154.0972,68504.7504,2026-03-08 11:00:00+00:00,67518.0,TRAIL,5,0.005307801252860234,False,v2
1414,67337.42,2026-03-08 19:00:00+00:00,classic,53.14235721202769,0.5923418726623284,0.0038324194540457768,1.8333298887612595,0.011875339514915373,67609.08,66327.3587,68684.1684,2026-03-08 22:00:00+00:00,66327.3587,SL,3,-0.015000000000000013,True,v2
1421,66537.32,2026-03-09 02:00:00+00:00,early,39.98213731366176,0.2652643737831725,-0.005799289477962266,2.236612456562961,0.014002608106343128,67668.64,65539.2602,67868.06640000001,2026-03-09 03:00:00+00:00,66991.9536,TRAIL,1,0.006832760922742098,False,v2
1423,67130.14,2026-03-09 04:00:00+00:00,early,47.65937300405407,0.558186914418989,0.0073949508203805525,2.236612456562961,0.023036951932298155,68069.29,66123.1879,68472.7428,2026-03-09 05:00:00+00:00,67388.5971,TRAIL,1,0.0038500902873135345,False,v2
1425,67267.18,2026-03-09 06:00:00+00:00,classic,53.63396347912695,0.6398144630521762,0.001573222285618181,2.236612456562961,0.02512538767655248,67575.81,66258.17229999999,68612.5236,2026-03-09 07:00:00+00:00,67267.18,TRAIL,1,0.0,False,v2
1427,67814.69,2026-03-09 08:00:00+00:00,classic,59.140047495784344,0.878873055033286,0.004077031856845492,2.236612456562961,0.033469224909015605,68460.09,66797.46965,69170.9838,2026-03-09 09:00:00+00:00,67814.69,TRAIL,1,0.0,False,v2
1430,67764.98,2026-03-09 11:00:00+00:00,classic,56.931049561311134,0.7802556793357508,0.0037025846108271754,2.236612456562961,0.03271166404469206,69300.0,66748.50529999999,69120.2796,2026-03-09 13:00:00+00:00,69120.2796,TP,2,0.020000000000000018,False,v2
1434,68863.66,2026-03-09 15:00:00+00:00,classic,74.57807326109344,0.8841967838915251,0.024478924839288485,2.236612456562961,0.04945511547126413,69225.0,67830.7051,70240.9332,2026-03-09 17:00:00+00:00,68863.66,TRAIL,2,0.0,False,v2
1437,68356.37,2026-03-09 18:00:00+00:00,classic,62.157381795090906,0.6665347832924403,0.023237680378420444,2.236612456562961,0.04172421523262715,69516.65,67331.02445,69723.4974,2026-03-09 19:00:00+00:00,68821.48349999999,TRAIL,1,0.006804245163983813,False,v2
1439,68961.71,2026-03-09 20:00:00+00:00,classic,69.77775080356201,0.7789725386811787,0.025623747003218345,2.236612456562961,0.05094935893831143,69290.42,67927.28435,70340.94420000001,2026-03-10 00:00:00+00:00,68961.71,TRAIL,4,0.0,False,v2
1444,69260.01,2026-03-10 01:00:00+00:00,classic,66.99766926266992,0.818841070445851,0.046286777707599036,2.230902250481296,0.050046392455919575,70578.29,68221.10985,70645.2102,2026-03-10 02:00:00+00:00,69872.50709999999,TRAIL,1,0.008843445156880403,False,v2
1446,69429.85,2026-03-10 03:00:00+00:00,classic,54.501685218269834,0.7761252309902423,0.03310465508172378,2.230902250481296,0.038537560049230146,70132.27,68388.40225,70818.447,2026-03-10 04:00:00+00:00,69430.9473,TRAIL,1,1.5804441461320096e-05,False,v2
1448,69971.34,2026-03-10 05:00:00+00:00,classic,60.4061447811289,0.876353877342365,0.030336398318037805,2.230902250481296,0.04663721320116765,70546.74,68921.7699,71370.7668,2026-03-10 07:00:00+00:00,69971.34,TRAIL,2,0.0,False,v2
1453,70774.04,2026-03-10 10:00:00+00:00,classic,66.50703060529452,0.881676765668627,0.04682735641408797,2.230902250481296,0.05092609710228535,70926.46,69712.4294,72189.5208,2026-03-10 13:00:00+00:00,70774.04,TRAIL,3,0.0,False,v2
1457,71467.81,2026-03-10 14:00:00+00:00,classic,67.41252438041397,0.9621054155418811,0.03349616421914203,2.230902250481296,0.048236028860448865,71777.0,70395.79285,72897.16619999999,2026-03-10 15:00:00+00:00,71467.81,TRAIL,1,0.0,False,v2
1459,71268.59,2026-03-10 16:00:00+00:00,classic,58.71288686831929,0.821069112911157,0.03347543478752657,2.230902250481296,0.045314019893480495,71452.0,70199.56115,72693.9618,2026-03-10 17:00:00+00:00,71268.59,TRAIL,1,0.0,False,v2
1480,70186.09,2026-03-11 13:00:00+00:00,classic,52.71343163512672,0.8307285621965601,0.003789556002535388,2.0689562982564893,0.017515462558955308,70987.0,69133.29865,71589.8118,2026-03-11 14:00:00+00:00,70277.13,TRAIL,1,0.001297123119410326,False,v2
1485,70617.64,2026-03-11 18:00:00+00:00,classic,55.26175231000762,0.8681810436610825,0.008623577014097439,2.0689562982564893,0.023771813324004576,70950.0,69558.3754,72029.9928,2026-03-12 02:00:00+00:00,69558.3754,SL,8,-0.014999999999999902,False,v2
1500,69952.51,2026-03-12 09:00:00+00:00,early,35.93239156076096,0.4217359517815248,0.00699269794541979,1.892821769612635,0.014129161060403073,70800.0,68903.22235,71351.56019999999,2026-03-12 13:00:00+00:00,70092.0,TRAIL,4,0.001994067117820464,False,v2
1506,70334.88,2026-03-12 15:00:00+00:00,classic,57.19924269163025,0.6909541915030196,0.0015231835889748524,1.892821769612635,0.016313202152821837,70569.15,69279.85680000001,71741.5776,2026-03-12 19:00:00+00:00,70334.88,TRAIL,4,0.0,False,v2
1514,70541.34,2026-03-12 23:00:00+00:00,classic,57.16514277229193,0.8331928807868977,0.0049789249066771735,1.892821769612635,0.019296473379224244,72000.0,69483.2199,71952.16679999999,2026-03-13 00:00:00+00:00,71952.16679999999,TP,1,0.020000000000000018,False,v2
1517,71143.8,2026-03-13 02:00:00+00:00,classic,57.26112610344716,0.8694319786154425,0.026805198583967904,1.9177276988898857,0.028001799268299488,72142.85,70076.643,72566.676,2026-03-13 08:00:00+00:00,71421.42150000001,TRAIL,6,0.0039022585242847185,False,v2
1524,72006.57,2026-03-13 09:00:00+00:00,classic,70.7953005328514,0.8847974973018605,0.029363635414940914,1.9177276988898857,0.03822676090983057,73585.27,70926.47145000001,73446.7014,2026-03-13 13:00:00+00:00,73446.7014,TP,4,0.020000000000000018,False,v2
1529,72382.72,2026-03-13 14:00:00+00:00,classic,59.355488128101534,0.7442648306610415,0.040129708123671115,1.9177276988898857,0.041835657536529736,72829.12,71296.9792,73830.3744,2026-03-13 15:00:00+00:00,72382.72,TRAIL,1,0.0,False,v2
1531,71885.57,2026-03-13 16:00:00+00:00,classic,57.8444208028155,0.5688785682589115,0.02137518051705878,1.9177276988898857,0.03030950604729621,72249.99,70807.28645,73323.2814,2026-03-13 17:00:00+00:00,71885.57,TRAIL,1,0.0,False,v2
1557,70668.23,2026-03-14 18:00:00+00:00,early,36.256985307686016,0.4030267158240913,-0.005449546797606675,1.747284732635851,0.004994951434219352,72222.0,69608.20654999999,72081.5946,2026-03-15 21:00:00+00:00,72081.5946,TP,27,0.020000000000000018,False,v2
1587,72531.26,2026-03-16 00:00:00+00:00,classic,62.43596434944179,0.9276640105913274,0.02177888148078022,1.564434060738952,0.023602425216790124,74330.34,71443.29109999999,73981.88519999999,2026-03-16 03:00:00+00:00,73981.88519999999,TP,3,0.020000000000000018,False,v2
1593,73714.36,2026-03-16 06:00:00+00:00,classic,72.03633414559958,0.8806902627937377,0.0315701119014542,1.564434060738952,0.03438440648636143,73924.83,72608.6446,75188.6472,2026-03-16 08:00:00+00:00,73714.36,TRAIL,2,0.0,False,v2
1596,73260.92,2026-03-16 09:00:00+00:00,classic,67.45776823647036,0.6867333351946516,0.020473568450685375,1.564434060738952,0.028021585656374137,74509.52,72162.0062,74726.1384,2026-03-16 14:00:00+00:00,73764.42480000001,TRAIL,5,0.006872761084627532,False,v2
1602,73274.76,2026-03-16 15:00:00+00:00,classic,54.94734686601476,0.5178117767126307,0.025090779063149826,1.564434060738952,0.027407148169211082,73901.95,72175.63859999999,74740.2552,2026-03-16 16:00:00+00:00,73274.76,TRAIL,1,0.0,False,v2
1604,73943.18,2026-03-16 17:00:00+00:00,classic,53.980653160311796,0.7515347889270168,0.029563234171006814,1.564434060738952,0.03675324272905356,75520.23,72834.03229999999,75422.04359999999,2026-03-17 00:00:00+00:00,75422.04359999999,TP,7,0.020000000000000018,False,v2
1613,75198.02,2026-03-17 02:00:00+00:00,classic,67.03255709370228,0.8808167811655021,0.037003950509889805,1.6122090746491784,0.03813020096907582,75326.15,74070.0497,76701.9804,2026-03-17 03:00:00+00:00,75198.02,TRAIL,1,0.0,False,v2
1615,74252.01,2026-03-17 04:00:00+00:00,classic,58.431241540735385,0.516809959222849,0.005639419022959391,1.6122090746491784,0.018702599027559774,74459.99,73138.22984999999,75737.0502,2026-03-17 14:00:00+00:00,74252.01,TRAIL,10,0.0,False,v2
1628,74523.75,2026-03-17 17:00:00+00:00,classic,50.80252532981256,0.5762807666400812,0.007851569272514514,1.6122090746491784,0.015321150001791572,74800.0,73405.89375,76014.225,2026-03-17 22:00:00+00:00,74523.75,TRAIL,5,0.0,False,v2
1638,74446.14,2026-03-18 03:00:00+00:00,early,61.06679030304641,0.7047360314689823,-0.00023957892124482072,1.3963277044460978,0.014263781385053464,74486.3,73329.4479,75935.0628,2026-03-18 11:00:00+00:00,73329.4479,SL,8,-0.015000000000000013,False,v2
2283,74163.82,2026-04-14 00:00:00+00:00,classic,78.97237453238263,0.8899263934429889,0.04202739761441987,2.0753981543523734,0.05097043249258615,75532.94,73051.36270000001,75647.09640000001,2026-04-14 13:00:00+00:00,74777.6106,TRAIL,13,0.008276145969827287,False,v2
2297,75013.62,2026-04-14 14:00:00+00:00,classic,63.277627088956315,0.7967302602015918,0.03609757714590378,2.0753981543523734,0.046906429838952324,75441.99,73888.4157,76513.8924,2026-04-14 15:00:00+00:00,75013.62,TRAIL,1,0.0,False,v2
2299,74652.2,2026-04-14 16:00:00+00:00,classic,54.12751850327001,0.5738107706592347,0.03393019286350185,2.0753981543523734,0.0360622301841762,74948.78,73532.417,76145.24399999999,2026-04-14 18:00:00+00:00,74652.2,TRAIL,2,0.0,False,v2
2307,74568.36,2026-04-15 00:00:00+00:00,classic,50.77528893476673,0.5261942168615532,0.005454681271811479,1.7545474845572908,0.010473407107509436,75281.0,73449.8346,76059.72720000001,2026-04-15 19:00:00+00:00,74568.36,TRAIL,19,0.0,False,v2
2328,74779.16,2026-04-15 21:00:00+00:00,classic,68.84056669190308,0.9173596306392693,0.006758606112377885,1.7545474845572908,0.01720978317055266,75425.0,73657.47260000001,76274.74320000001,2026-04-15 23:00:00+00:00,74779.16,TRAIL,2,0.0,False,v2
