gate,zcol,source,corr_cfg,corr_1d,corr_3d,corr_7d,delta_3d,n,status
G4 OI,oi_z,eth,-0.472,-0.44,-0.47,-0.411,0.002,22,✅ aligned
G10 Funding,funding_z,eth,-0.064,-0.286,-0.192,-0.139,0.128,22,✅ aligned
G9 Taker,taker_z,eth,0.143,-0.053,-0.289,-0.158,0.432,22,🔴 broken (inv)
G5 Stablecoin,stablecoin_z,global,0.326,0.055,-0.156,-0.595,0.482,22,🔴 broken (inv)
G6 Bubble,bubble_z,global,-0.345,-0.155,-0.485,-0.559,0.14,22,✅ aligned
G7 ETF,etf_z,global,0.263,0.25,-0.051,-0.256,0.314,22,🔴 broken (inv)
G8 F&G,fg_z,global,-0.211,0.133,0.324,0.422,0.535,22,🔴 broken (inv)
G3 DGS10,dgs10_z,global,-0.315,-0.1,-0.235,-0.616,0.08,22,✅ aligned
G3 Curve,curve_z,global,-0.282,0.228,0.628,0.468,0.91,22,🔴 broken (inv)
