timestamp,open,high,low,close,volume,fwd_return_1d,fwd_return_3d,fwd_return_7d,fwd_return_14d,ret_1d,ret_7d,rsi_14,ma_21,ma_50,ma_200,bb_pct,open_interest,funding_rate,buy_sell_ratio,oi_z,funding_z,taker_z,volume_z,rsi_z
2025-10-22 00:00:00+00:00,3873.04,3889.27,3710.0,3805.53,593130.0905,0.013472499231381718,0.03896697700451712,0.025610098987525864,-0.10018052675974176,-0.017433289009953445,-0.04518254420276946,32.087766685071614,4160.007619047619,4265.8294,,0.21959865532224535,43525894809.333336,0.0008363333333333334,0.4756356666666666,,,,,-0.8956116657464193
2025-10-23 00:00:00+00:00,3805.53,3934.86,3796.54,3856.8,477231.0181,0.020244762497407143,0.0782151006015348,-0.013407488073013951,-0.14044285417963087,0.013472499231381718,-0.009682861258540898,36.57305524771924,4130.124285714286,4253.9562,,0.28454010370652866,43901830498.166664,0.003924333333333333,0.5028191666666667,,,,,-0.671347237614038
2025-10-24 00:00:00+00:00,3856.8,4026.39,3845.86,3934.88,425926.9383,0.004813361525637383,0.04708402797544009,-0.022081994876591016,-0.12677133737242308,0.020244762497407143,0.026962837687945163,53.64208134766709,4102.600952380953,4246.7028,,0.3690509109792622,45719829320.166664,0.004905666666666667,0.4995075,,,,,0.18210406738335436
2025-10-25 00:00:00+00:00,3934.88,3969.22,3912.4,3953.82,138526.3338,0.051757540808635705,0.006419108608889612,-0.020246242873980136,-0.13969022363182948,0.004813361525637383,0.0166126282715513,57.50277236190739,4077.204285714286,4239.6302000000005,,0.4045078835013512,45958536407.166664,0.005910000000000001,0.5088778333333334,,,,,0.37513861809536947
2025-10-26 00:00:00+00:00,3953.81,4178.78,3919.03,4158.46,344698.0918,-0.009212545028688623,-0.06143380001250465,-0.06057049965612271,-0.13827234120323384,0.051757540808635705,0.044162326933796736,50.26170016032846,4060.258571428571,4237.3366,,0.6451215598860335,47422910820.166664,0.0058726666666666675,0.5019238333333333,,,,,0.01308500801642296
2025-10-27 00:00:00+00:00,4158.46,4253.72,4095.0,4120.15,487131.2291,-0.03420991954176422,-0.07646808975401365,-0.1253158258801257,-0.1340485176510563,-0.009212545028688623,0.03541648865858127,44.652572258944836,4033.4080952380955,4233.6158000000005,,0.6333015789484295,50207683959.166664,0.006662500000000001,0.49290900000000004,,,,,-0.2673713870527582
2025-10-28 00:00:00+00:00,4120.16,4175.55,3931.33,3979.2,472965.8377,-0.01915209087253722,-0.032973964616003215,-0.17394199839163638,-0.14109368717330106,-0.03420991954176422,0.027407340468106334,43.68033284215998,4011.0985714285716,4227.0724,,0.49044403728412445,49114892885.5,0.004678,0.48358933333333337,,,,,-0.31598335789200116
2025-10-29 00:00:00+00:00,3979.19,4036.66,3840.37,3902.99,486452.3127,-0.025083333546844777,-0.0074865679901818805,-0.1226495584154712,-0.12505028196331525,-0.01915209087253722,0.025610098987525864,46.2118294360385,3981.4447619047623,4218.9304,,0.3901762897470012,47773933521.333336,0.0017413333333333334,0.4977196666666667,,,,,-0.18940852819807502
2025-10-30 00:00:00+00:00,3903.0,3948.74,3680.0,3805.09,531455.9923,0.011274371959664409,0.026672168069612034,-0.12876173756731124,-0.1507323085656319,-0.025083333546844777,-0.013407488073013951,45.92545338558279,3954.635238095238,4208.0458,,0.2135474711922,47129719683.333336,0.001667,0.4975605,,,,,-0.2037273307208604
2025-10-31 00:00:00+00:00,3804.95,3906.09,3796.36,3847.99,478636.2995,0.006699601610191452,-0.06345130834539592,-0.10705329275803721,-0.19116213919474834,0.011274371959664409,-0.022081994876591016,50.76211870857544,3955.505238095238,4195.8292,,0.27194077397736083,46490713641.666664,0.0030191666666666665,0.5105335,,,,,0.03810593542877214
