window_hours,n_signals,mfe_p10,mae_p10,mfe_p25,mae_p25,mfe_p50,mae_p50,mfe_p75,mae_p75,mfe_p90,mae_p90
4,131,0.0015660851513276163,-0.015574465227806556,0.003723103343893587,-0.010949350292196073,0.008338098313693306,-0.006150101728658718,0.0166420472964112,-0.0024185684491490594,0.023047678306927968,-0.0011705768963951107
12,131,0.0029283197323905284,-0.023118195756209263,0.007217843132482537,-0.015610305026195957,0.020994549344998694,-0.009537203598725705,0.0290672268881961,-0.0036753324912863206,0.038815266883734795,-0.0017866806649928053
24,131,0.003922463400967026,-0.03365995063040331,0.010537659295586631,-0.02504713686293964,0.02913798773673781,-0.012777555069800115,0.04101668137110735,-0.0051602521517943,0.04922326162624925,-0.001975524714568892
48,131,0.006167217811101796,-0.05323352310741376,0.024913616354772496,-0.030032174150442834,0.04230591287189784,-0.015627002377808022,0.058527767617735635,-0.006236831461812503,0.06803458970015337,-0.002254577564686951
72,131,0.014053597857806051,-0.07668298509866547,0.03360974704819757,-0.03804234068746913,0.046301124288655224,-0.021083519672299662,0.058686108367410485,-0.009707478549318577,0.07015136037181155,-0.004014381725723183
120,131,0.014508554373081689,-0.0837382046997756,0.04360951765641702,-0.04685976170305844,0.061299396330110445,-0.030514589074452585,0.07794425853463459,-0.016730874270730896,0.09766219139373036,-0.008367251914141978
