entry_time,entry_price,rsi_14,bb_pct,ret_1d,ret_3h,ret_1h,stablecoin_z,atr_pct,volume_z,oi_z,funding_z,taker_z,hour_of_day,day_of_week,is_weekend,candle_body,upper_wick,lower_wick,close_vs_ma21,close_vs_ma200,trend_slope_3h,exit_reason,return_pct,hours_held,is_winner
2026-02-24 19:00:00+00:00,64435.03,76.40161318488632,0.8231004719241789,0.0021763711387026152,0.0026376507962591056,-4.6558504018801017e-07,1.4234371605213982,0.008292383816691026,-0.6909096309341228,-0.02865750639762555,-0.5095292412462347,0.7039446680633328,19,1,0,-4.060171746091135e-05,0.6253882539230045,0.37457114435933164,0.011290596659866273,-0.03802257484592554,0.0016708302921562446,TP,0.02,6,True
2026-02-25 03:00:00+00:00,65391.73,77.20508436452926,0.8735586766596285,0.028244446817078828,0.01817738768659205,-0.007484272176159545,1.8845245359987455,0.01018604121871156,-0.3013296119075078,-0.9334498961662887,1.095775372715705,0.7384878226692991,3,2,0,-0.8142637758217849,0.11729057613234616,0.06844564804570379,0.0209168180628334,-0.02172063455439264,-0.0038614974707047566,TP,0.02,11,True
2026-02-25 05:00:00+00:00,64882.76,60.95706586607711,0.6702191041147798,0.028174881811666053,-0.015209419224425424,-0.008787773654522435,1.8845245359987455,0.00969938481567148,-0.24645551003102556,-1.3033805376803034,1.1084161957765137,-0.12784679158286066,5,2,0,-0.7609497982669807,0.07038825319133843,0.16866194854154853,0.010150165740821643,-0.02882266891794794,-0.0039222283392383395,TP,0.02,7,True
2026-02-25 06:00:00+00:00,64898.22,58.17239134476176,0.6557126141798667,0.02877853056277324,-0.007546978799918613,0.00023827593030878447,1.8845245359987455,0.00916756378570277,-0.902146559228084,-1.1432873984685499,0.9604093358562372,-0.06386226557283568,6,2,0,0.05982343374892845,0.8743901494614361,0.06578641678924824,0.009157715092013324,-0.028322715741035346,-0.004312676064150883,TP,0.02,6,True
2026-02-25 07:00:00+00:00,65028.3,60.221782298353354,0.6735491204632899,0.02904342509038993,-0.006564362883736519,0.0020043693031950305,1.8845245359987455,0.009077685078211004,-0.41572779302854423,-1.0208218618067715,0.8321586957579086,0.003670195904412776,7,2,0,0.3156745213191212,0.40029606620224034,0.2840294124783958,0.009876456969732316,-0.026093388722875532,0.0011190512438429402,TP,0.02,6,True
2026-02-25 08:00:00+00:00,65530.49,62.91150311048905,0.801928372818202,0.03373193684076026,0.00998308333369291,0.007722637682362921,1.8845245359987455,0.009012260661302196,-0.40262615367842025,-0.20868667857127368,-0.6689955036532081,0.14287864717059814,8,2,0,0.7957628192937818,0.08933891107306353,0.1148982696329961,0.015944816963863833,-0.018326162283039623,0.004824242882969432,TP,0.02,6,True
2026-02-25 09:00:00+00:00,65558.71,63.15704430173156,0.7980787790710858,0.03650150774727412,0.01017732073391242,0.00043063923373698465,1.8845245359987455,0.008794352856720757,-0.6049797692021959,-0.018231992057288003,-0.7125622721541802,0.2210050149617626,9,2,0,0.09532331588719982,0.452169508694737,0.45250717541772556,0.01444287638280036,-0.017678310708427,0.0040453053453920595,TP,0.02,5,True
2026-02-25 10:00:00+00:00,65400.87,60.568580689375146,0.7239667539227724,0.03344215408196316,0.005729351682267625,-0.002407612962488148,1.8845245359987455,0.008848102042504493,-0.9383257737167934,0.08350077910679157,-0.7896493782252032,0.11568373708153336,10,2,0,-0.5196549680646246,0.2964048199116601,0.183940212023386,0.01013904569490072,-0.019790915040960647,-0.0009909654107046963,TP,0.02,4,True
2026-02-26 05:00:00+00:00,68443.81,61.6051538457881,0.6182928842105528,0.054884379147865925,0.0027302514231046793,-0.0018601060267727787,1.5977986317453197,0.011615189995163278,-0.9169497341648415,-1.1659115945785963,0.691030399107151,-1.3873722045066728,5,3,0,-0.28741071227376913,2.2533180095899415e-05,0.7125667545459097,0.010068264990829889,0.02569057125847623,0.0016579293291823485,SL,-0.015,9,False
2026-02-28 18:00:00+00:00,65911.84,51.652642073769044,0.7693804953630765,0.009141578411985263,0.016512037566250193,0.00716994521307357,1.3526423020608762,0.013010842534946254,-0.11430948803130478,0.3132093920936569,1.084885070912365,0.8703300782504915,18,5,1,0.4827916165076457,0.25287320842462563,0.2643351750676257,0.015432185463326488,-0.008646716172854969,0.006201768908287195,TP,0.02,4,True
2026-02-28 19:00:00+00:00,66362.01,54.87931143597532,0.8674808002266158,0.014830978260703231,0.019474977071725075,0.006829880640564667,1.3526423020608762,0.013820633220723738,0.2623377397406782,0.2616772002701733,1.0276840685973125,0.7667667962268502,19,5,1,0.4231015037593521,0.28631578947365677,0.29058270676689707,0.02182472192330043,-0.0018040972050371844,0.006927080719827412,TP,0.02,3,True
2026-02-28 20:00:00+00:00,66959.62,80.56961436135786,0.9676380242538312,0.02080885535364385,0.02318061226766277,0.009005302883381638,1.3526423020608762,0.011990531436280993,-0.06212528718494124,0.9691158445529364,1.065357604700616,0.20964072190572527,20,5,1,0.6218173494125746,0.19983976193199163,0.17834288865532968,0.030205080154001394,0.007229058303860857,0.00782396913244127,TRAIL,0.0018336424250914036,3,True
2026-02-28 21:00:00+00:00,66723.22,75.19540829635531,0.8810506885999505,0.018246207437203177,0.012310079645781569,-0.003530485985434151,1.3526423020608762,0.01138847487105261,0.08385624786462487,0.8446672811969748,1.0000475647589446,-0.008416118071130428,21,5,1,-0.34404924760597444,0.13960764909622367,0.5163431032976563,0.025980731322920007,0.0036789685182394213,0.002706778839510464,TRAIL,0.005383133487862141,2,True
2026-02-28 22:00:00+00:00,67103.64,81.41971889494671,0.9234815856903804,0.022329294361390417,0.01117552045213821,0.0057014634485565985,1.3526423020608762,0.01205357222691007,0.646388211443018,0.8589554143102541,0.8758909914824268,-0.12347193106196581,22,5,1,0.3304522316231803,0.5701627894855258,0.09938497889120701,0.03082397357143192,0.009398826983640545,0.001073116152864317,SL,-0.015,3,False
2026-02-28 23:00:00+00:00,66973.26,78.96307791243572,0.8648445008939355,0.016716637240956178,0.0002037048597347546,-0.0019429646439448334,1.3526423020608762,0.011909614587758084,-0.5737537845762525,0.8735741065918947,0.7708314869504065,-0.2728209972494983,23,5,1,-0.2737312868750528,0.22333970226966238,0.5029290108550748,0.028059962676829902,0.007483799888337156,0.001866715163633904,TRAIL,0.008133546134681443,4,True
2026-03-01 00:00:00+00:00,66791.29,75.04214363413104,0.8061829601884106,0.012879348518394895,0.0010201845774229223,-0.0027170545378857325,1.3151776922285465,0.011835129571963235,-0.45232409079780495,2.090062214808162,1.4311714183306319,-2.2338309234340334,0,6,1,-0.3629962098543064,0.296309595052818,0.3406941950926761,0.024522366458302955,0.00482230546293198,-0.002338253984913433,TP,0.02,2,True
2026-03-01 01:00:00+00:00,67339.36,79.44869841867117,0.8695997022685519,0.023855730757745608,0.0035127751639105753,0.00820571065478748,1.3151776922285465,0.012952709126685254,1.1107351578646087,1.757121638521228,1.530432397660684,-2.143403548959978,1,6,1,0.330043357822457,0.2191737926050724,0.4507828495724104,0.031666202713764566,0.013088467653880312,0.0027183210532442208,TRAIL,0.0026526848488017916,2,True
