timestamp,idx,entry_price,bb_pct_entry,rsi_entry,ret_1d_entry,stablecoin_z_entry,regime,mfe_pct_4h,mae_pct_4h,time_to_mfe_h_4h,time_to_mae_h_4h,mfe_pct_12h,mae_pct_12h,time_to_mfe_h_12h,time_to_mae_h_12h,mfe_pct_24h,mae_pct_24h,time_to_mfe_h_24h,time_to_mae_h_24h,mfe_pct_48h,mae_pct_48h,time_to_mfe_h_48h,time_to_mae_h_48h,mfe_pct_72h,mae_pct_72h,time_to_mfe_h_72h,time_to_mae_h_72h,mfe_pct_120h,mae_pct_120h,time_to_mfe_h_120h,time_to_mae_h_120h
2026-02-24 19:00:00+00:00,1126,64435.03,0.8231004719241789,76.40161318488632,0.0021763711387026152,1.4234371605213947,Unknown,0.002435942064432951,-0.009537203598725705,1,2,0.029098612974961,-0.009537203598725705,7,2,0.0793818207270176,-0.009537203598725705,23,2,0.08619224667079387,-0.009537203598725705,26,2,0.08619224667079387,-0.009537203598725705,26,2,0.08619224667079387,-0.02180537511971359,26,83
2026-02-25 03:00:00+00:00,1134,65391.73,0.8735586766596285,77.20508436452926,0.028244446817078828,1.8845245359987408,Unknown,0.003949582003718158,-0.00973318797346394,1,2,0.03343343263742979,-0.00973318797346394,12,2,0.07030093866609735,-0.00973318797346394,18,2,0.07030093866609735,-0.00973318797346394,18,2,0.07030093866609735,-0.00973318797346394,18,2,0.07030093866609735,-0.03611664655454142,18,75
2026-02-25 05:00:00+00:00,1136,64882.76,0.6702191041147798,60.95706586607711,0.028174881811666053,1.8845245359987408,Unknown,0.012481898119007163,-0.001565593078962759,4,2,0.06160650379237881,-0.001565593078962759,12,2,0.0786968680123965,-0.001565593078962759,16,2,0.0786968680123965,-0.001565593078962759,16,2,0.0786968680123965,-0.001565593078962759,16,2,0.0786968680123965,-0.028555505345333677,16,73
2026-02-25 06:00:00+00:00,1137,64898.22,0.6557126141798667,58.17239134476176,0.02877853056277324,1.8845245359987408,Unknown,0.012240705523202241,-0.0018034392930961877,3,1,0.0716780830044337,-0.0018034392930961877,12,1,0.07843990174152697,-0.0018034392930961877,15,1,0.07843990174152697,-0.0018034392930961877,15,1,0.07843990174152697,-0.02878692204501142,15,72,0.07843990174152697,-0.02878692204501142,15,72
2026-02-25 07:00:00+00:00,1138,65028.3,0.6735491204632899,60.221782298353354,0.02904342509038993,1.8845245359987408,Unknown,0.010215859864089825,-0.001115052984623649,2,1,0.069534341202215,-0.001115052984623649,11,1,0.0762826338686387,-0.001115052984623649,14,1,0.0762826338686387,-0.001115052984623649,14,1,0.0762826338686387,-0.030729697685469293,14,71,0.0762826338686387,-0.030729697685469293,14,71
2026-02-25 08:00:00+00:00,1139,65530.49,0.801928372818202,62.91150311048905,0.03373193684076026,1.8845245359987408,Unknown,0.0108271737324107,-0.0050310931598404815,4,3,0.061338012274896804,-0.0050310931598404815,10,3,0.06803458970015337,-0.0050310931598404815,13,3,0.06803458970015337,-0.0050310931598404815,13,3,0.06803458970015337,-0.03815765760335377,13,70,0.06803458970015337,-0.03815765760335377,13,70
2026-02-25 09:00:00+00:00,1140,65558.71,0.7980787790710858,63.15704430173156,0.03650150774727412,1.8845245359987408,Unknown,0.01716614009030988,-0.005459381369767701,4,2,0.06757485008475601,-0.005459381369767701,12,2,0.06757485008475601,-0.005459381369767701,12,2,0.06757485008475601,-0.005459381369767701,12,2,0.06757485008475601,-0.038571686355634606,12,69,0.06757485008475601,-0.038571686355634606,12,69
2026-02-25 10:00:00+00:00,1141,65400.87,0.7239667539227724,60.568580689375146,0.03344215408196316,1.8845245359987408,Unknown,0.024600743078799964,-0.0030591336170298607,4,1,0.07015136037181155,-0.0030591336170298607,11,1,0.07015136037181155,-0.0030591336170298607,11,1,0.07015136037181155,-0.0030591336170298607,11,1,0.07015136037181155,-0.036251352619621154,11,68,0.07015136037181155,-0.036251352619621154,11,68
2026-02-26 05:00:00+00:00,1160,68443.81,0.6182928842105528,61.6051538457881,0.054884379147865925,1.5977986317453161,Unknown,0.002933501218006403,-0.009523286327865116,4,3,0.00407385269756318,-0.028400084682603112,5,11,0.00407385269756318,-0.028400084682603112,5,11,0.00407385269756318,-0.051565656558277495,5,41,0.00407385269756318,-0.07909860657961615,5,49,0.024139363369748153,-0.07909860657961615,107,49
2026-02-28 18:00:00+00:00,1221,65911.84,0.7693804953630765,51.652642073769044,0.009141578411985263,1.3526423020608735,Unknown,0.028039878722851668,-0.004690962959007097,4,1,0.034715310633112485,-0.004690962959007097,8,1,0.034715310633112485,-0.004690962959007097,8,1,0.06348115907551669,-0.012984617027835918,46,28,0.06348115907551669,-0.012984617027835918,46,28,0.12347038104231355,-0.012984617027835918,97,28
2026-02-28 19:00:00+00:00,1222,66362.01,0.8674808002266158,54.87931143597532,0.014830978260703231,1.3526423020608735,Unknown,0.02106611900393019,-0.00258280302239179,3,1,0.027696267789357354,-0.004811337088795135,7,6,0.027696267789357354,-0.009976039001832507,7,22,0.05626698166616722,-0.01968008503660445,45,27,0.05626698166616722,-0.01968008503660445,45,27,0.11584926375798452,-0.01968008503660445,96,27
2026-02-28 20:00:00+00:00,1223,66959.62,0.9676380242538312,80.56961436135786,0.02080885535364385,1.3526423020608735,Unknown,0.011953174166759081,-0.008829201838361644,2,1,0.01852414933059671,-0.01369332741135619,6,5,0.01852414933059671,-0.028010911650932287,6,24,0.0468398715524372,-0.02842937280707381,44,26,0.0468398715524372,-0.02842937280707381,44,26,0.10589038587733929,-0.02842937280707381,95,26
2026-02-28 21:00:00+00:00,1224,66723.22,0.8810506885999505,75.19540829635531,0.018246207437203177,1.3526423020608735,Unknown,0.015538518674608311,-0.010198848316972712,1,4,0.022132774767165075,-0.010198848316972712,5,4,0.022132774767165075,-0.02456715967844484,5,23,0.05054881943647202,-0.024987103440151735,43,25,0.05054881943647202,-0.024987103440151735,43,25,0.10980854940753756,-0.024987103440151735,94,25
2026-02-28 22:00:00+00:00,1225,67103.64,0.9234815856903804,81.41971889494671,0.022329294361390417,1.3526423020608735,Unknown,0.016338159897138306,-0.015810170655421944,4,3,0.016338159897138306,-0.015810170655421944,4,3,0.016338159897138306,-0.030514589074452585,4,24,0.04459311000118624,-0.030514589074452585,42,24,0.04459311000118624,-0.030514589074452585,42,24,0.1035168882045743,-0.030514589074452585,93,24
2026-02-28 23:00:00+00:00,1226,66973.26,0.8648445008939355,78.96307791243572,0.016716637240956178,1.3526423020608735,Unknown,0.01831671326735492,-0.013894201954630753,3,2,0.01831671326735492,-0.013894201954630753,3,2,0.01831671326735492,-0.028627246157645527,3,23,0.04662666861371248,-0.028627246157645527,41,23,0.04662666861371248,-0.028627246157645527,41,23,0.10566515651171834,-0.028627246157645527,92,23
2026-03-01 00:00:00+00:00,1227,66791.29,0.8061829601884106,75.04214363413104,0.012879348518394895,1.3151776922285734,Unknown,0.021091073401936267,-0.011207599074669655,2,1,0.021091073401936267,-0.011207599074669655,2,1,0.021091073401936267,-0.025980782823628555,2,22,0.04947815800533283,-0.025980782823628555,40,22,0.04947815800533283,-0.025980782823628555,40,22,0.10867749372710135,-0.025980782823628555,91,22
2026-03-01 01:00:00+00:00,1228,67339.36,0.8695997022685519,79.44869841867117,0.023855730757745608,1.3151776922285734,Unknown,0.012780489746264364,-0.003861040556370004,1,3,0.012780489746264364,-0.017925474789187133,1,12,0.012780489746264364,-0.03390825217228083,1,21,0.0409365339973531,-0.03390825217228083,39,21,0.0409365339973531,-0.03390825217228083,39,21,0.09965405076614924,-0.03390825217228083,90,21
2026-03-01 02:00:00+00:00,1229,67620.65,0.8781571668281924,79.81703300884186,0.02515905958554665,1.3151776922285734,Unknown,0.0028494254343903467,-0.012885117194229698,1,4,0.0028494254343903467,-0.022010731928781967,1,11,0.0028494254343903467,-0.03792702377158449,1,20,0.036606421263327193,-0.03792702377158449,38,20,0.036606421263327193,-0.03792702377158449,38,20,0.09507968349904958,-0.03792702377158449,89,20
2026-03-01 03:00:00+00:00,1230,67502.16,0.8218904957155843,73.61776547457882,0.025908918617173926,1.3151776922285734,Unknown,0.0016292811963349902,-0.011152383864457042,1,3,0.0016292811963349902,-0.0202940172581144,1,10,0.0016292811963349902,-0.03623824778347839,1,19,0.03842602962631116,-0.03623824778347839,37,19,0.03842602962631116,-0.03623824778347839,37,19,0.09700193297518177,-0.03623824778347839,88,19
2026-03-01 04:00:00+00:00,1231,67346.5,0.7703630192655057,81.94083863503676,0.025635363491270713,1.3151776922285734,Unknown,0.003387703889585861,-0.014212616839776355,1,4,0.003387703889585861,-0.02399857453616745,1,12,0.003387703889585861,-0.03401067613016267,1,18,0.04082617507962552,-0.03401067613016267,36,18,0.04082617507962552,-0.03401067613016267,36,18,0.09953746668349506,-0.03401067613016267,87,18
2026-03-01 05:00:00+00:00,1232,67292.09,0.7391523378594037,79.13913347423257,0.0259343388874973,1.3151776922285734,Unknown,0.0007981621614071788,-0.015531394551722193,1,4,0.0010176530406472808,-0.023659690165664354,8,12,0.0010176530406472808,-0.03322961138523111,8,17,0.041667750251181135,-0.03322961138523111,35,17,0.041667750251181135,-0.03322961138523111,35,17,0.1004265137254617,-0.03322961138523111,86,17
2026-03-01 08:00:00+00:00,1235,66560.14,0.5220552531623148,57.54496955475475,0.04863243241880677,1.3151776922285734,Unknown,0.0031694644873043595,-0.005174718682983435,1,2,0.01202566581140015,-0.022177237007013545,5,12,0.01202566581140015,-0.02259820967924646,5,14,0.0531227848979885,-0.02259820967924646,32,14,0.06915340021820869,-0.02259820967924646,72,14,0.1125277080246526,-0.02259820967924646,83,14
2026-03-02 14:00:00+00:00,1265,67177.06,0.9772521240402989,56.80803976343496,0.004925517369307464,1.8808897958865354,Unknown,0.04345144011958848,-0.003003555082642856,2,1,0.04345144011958848,-0.003003555082642856,2,1,0.04345144011958848,-0.015169761820478564,2,24,0.08121730840855498,-0.015169761820478564,48,24,0.10231081860385081,-0.015169761820478564,53,24,0.10231081860385081,-0.015169761820478564,53,24
2026-03-02 18:00:00+00:00,1269,68877.67,0.9034559902591868,64.62079721445143,0.03861523537840994,1.8808897958865354,Unknown,0.0096126945060715,-0.004377180586974055,3,1,0.0096126945060715,-0.01564614482458536,3,12,0.0096126945060715,-0.03948551105169496,3,20,0.07088393088790615,-0.03948551105169496,47,20,0.07509443917019844,-0.03948551105169496,49,20,0.07509443917019844,-0.03948551105169496,49,20
2026-03-03 03:00:00+00:00,1278,68377.94,0.5595270700226935,71.95575264886236,0.023315014973803505,2.188293931431487,Unknown,0.0035022991333169134,-0.008452141143766577,2,3,0.0035022991333169134,-0.032465733831700726,2,11,0.009082753882319322,-0.032465733831700726,13,11,0.0829516069071399,-0.032465733831700726,40,11,0.0829516069071399,-0.032465733831700726,40,11,0.0829516069071399,-0.032465733831700726,40,11
2026-03-03 04:00:00+00:00,1279,68123.2,0.49796608478343535,59.08307188963628,0.018860903602817336,2.188293931431487,Unknown,0.0072547971909716685,-0.01788230734903817,1,4,0.012856119501139155,-0.02884773469243954,12,10,0.012856119501139155,-0.02884773469243954,12,10,0.08700119782981426,-0.02884773469243954,39,10,0.08700119782981426,-0.02884773469243954,39,10,0.08700119782981426,-0.02884773469243954,39,10
2026-03-04 05:00:00+00:00,1304,68206.59,0.6348391638905982,56.822012974827956,0.003809397662174252,2.5463851485084197,Unknown,0.05404771005265039,-0.002315905251970401,4,1,0.0814202850487029,-0.002315905251970401,12,1,0.08567222023561072,-0.002315905251970401,14,1,0.08567222023561072,-0.002315905251970401,14,1,0.08567222023561072,-0.00677075338321411,14,60,0.08567222023561072,-0.03794501381757967,14,113
2026-03-04 06:00:00+00:00,1305,68508.02,0.7384743495469149,54.92017966979255,0.005892075570211652,2.5463851485084197,Unknown,0.04940998148829868,-0.0023140356413745254,3,1,0.07666211926720405,-0.0023140356413745254,11,1,0.08089534626748804,-0.0023140356413745254,13,1,0.08089534626748804,-0.0023140356413745254,13,1,0.08089534626748804,-0.013075987307763349,13,72,0.08089534626748804,-0.042177981497640696,13,112
2026-03-04 23:00:00+00:00,1322,72666.77,0.6416178967985502,61.566068317911494,0.06334352775907992,2.5463851485084197,Unknown,0.008808014997776878,-0.004541415560372496,2,3,0.012266679804262527,-0.012517413392669109,11,9,0.012266679804262527,-0.027816015490987184,11,18,0.012266679804262527,-0.06773371102086971,11,42,0.012266679804262527,-0.07914910763200303,11,68,0.012266679804262527,-0.09699454097106557,11,95
