feature,horizon,n_high_shock,n_low_shock,mean_return_high,mean_return_low,cohens_d,p_value
oi_z_prev,1h,196,252,0.06372087618544664,-0.2045886961750979,0.25394722978235545,0.006132028272370242
oi_z_prev,4h,196,252,-0.12019278674783998,-0.3990521647077362,0.1537126226331947,0.09751317827967916
oi_z_prev,24h,196,252,-1.191013780094263,0.5789362127696078,-0.4549786942186604,1.0620893844919832e-06
taker_z_prev,1h,84,104,0.06137407197740143,-0.2882958135742239,0.5112067286530516,0.0005769122401197885
taker_z_prev,4h,84,104,0.00709954462873678,-0.6402516180740497,0.4349882228160377,0.002688908008606891
taker_z_prev,24h,84,104,0.49837155708555064,-1.1813344487119135,0.6100688641719734,3.765844159098492e-05
