config,entry_ts,exit_ts,entry_price,exit_price,exit_reason,return_pct,hold_hours,close_ma21_ratio,volume_z
v1,2025-11-26 18:00:00+00:00,2025-11-26 20:00:00+00:00,144.63,143.1837,TRAIL,-1.0000000000000056,2.0,1.0446154957334626,2.608442821409718
v1,2025-11-27 05:00:00+00:00,2025-11-27 08:00:00+00:00,142.77,142.51049999999998,TRAIL,-0.18176087413324307,3.0,1.0154785654045595,-0.6415228169837854
v1,2025-11-30 13:00:00+00:00,2025-11-30 15:00:00+00:00,139.26,137.8674,TRAIL,-0.999999999999991,2.0,1.0207254247699886,2.034500684061428
v1,2025-12-02 11:00:00+00:00,2025-12-02 13:00:00+00:00,128.31,130.8762,TP,2.000000000000007,2.0,1.0159834396633636,-0.19093040700278383
v1,2025-12-03 03:00:00+00:00,2025-12-03 04:00:00+00:00,140.33,140.8374,TRAIL,0.361576284472308,1.0,1.037695254729073,-0.2774314238389043
v1,2025-12-03 21:00:00+00:00,2025-12-03 22:00:00+00:00,145.49,144.0351,TRAIL,-1.0000000000000062,1.0,1.0273162858727998,0.9518995074071857
v1,2025-12-08 04:00:00+00:00,2025-12-08 09:00:00+00:00,135.05,137.751,TP,1.999999999999995,5.0,1.0154026272542724,-0.6208993101695748
v1,2025-12-09 15:00:00+00:00,2025-12-09 16:00:00+00:00,138.45,141.219,TP,2.000000000000004,1.0,1.0382229744930205,4.457025245182511
v1,2025-12-10 03:00:00+00:00,2025-12-10 10:00:00+00:00,138.15,137.83769999999998,TRAIL,-0.22605863192183984,7.0,1.0081068308650296,-0.2720628944619812
v1,2025-12-12 02:00:00+00:00,2025-12-12 05:00:00+00:00,137.22,137.511,TRAIL,0.21206821163095527,3.0,1.0300733872149677,-0.22326478226907887
v1,2025-12-16 21:00:00+00:00,2025-12-17 04:00:00+00:00,128.48,127.99709999999999,TRAIL,-0.3758561643835623,7.0,1.0080891336593893,-0.640490842695809
v1,2025-12-19 17:00:00+00:00,2025-12-19 19:00:00+00:00,123.65,126.123,TP,1.9999999999999991,2.0,1.0057790706231868,0.6727259604241822
v1,2025-12-22 04:00:00+00:00,2025-12-22 14:00:00+00:00,126.53,126.5616,TRAIL,0.024974314391841786,10.0,1.0080809460397675,-0.4371497023921743
v1,2025-12-25 15:00:00+00:00,2025-12-25 22:00:00+00:00,123.68,122.7699,TRAIL,-0.7358505821474772,7.0,1.009742557013008,1.0180045207186057
v1,2025-12-27 22:00:00+00:00,2025-12-28 18:00:00+00:00,123.91,123.48270000000001,TRAIL,-0.34484706641916574,20.0,1.0056502633826605,0.41968760610637906
v1,2025-12-28 23:00:00+00:00,2025-12-29 00:00:00+00:00,125.27,127.7754,TP,2.000000000000007,1.0,1.0087195591906222,1.5142782165991957
v1,2025-12-31 10:00:00+00:00,2025-12-31 14:00:00+00:00,126.4,125.4627,TRAIL,-0.7415348101265883,4.0,1.0089476444964764,-0.2888361140399671
v1,2026-01-01 22:00:00+00:00,2026-01-02 09:00:00+00:00,126.08,128.6016,TP,1.9999999999999938,11.0,1.00793348662271,-0.5029565085418723
v1,2026-01-05 19:00:00+00:00,2026-01-06 00:00:00+00:00,138.23,137.412,TRAIL,-0.5917673442812585,5.0,1.0179689226010749,1.605351056592905
v1,2026-01-09 01:00:00+00:00,2026-01-09 03:00:00+00:00,138.29,141.0558,TP,2.0000000000000093,2.0,1.0117405648709759,0.6297494458361187
v1,2026-01-11 17:00:00+00:00,2026-01-11 20:00:00+00:00,139.69,138.6297,TRAIL,-0.7590378695683183,3.0,1.020323054127566,-0.03076968925222687
v1,2026-01-16 18:00:00+00:00,2026-01-16 20:00:00+00:00,143.53,143.5005,TRAIL,-0.02055319445413012,2.0,1.005833180384763,-0.014166785192150992
v1,2026-01-21 15:00:00+00:00,2026-01-21 16:00:00+00:00,130.43,129.1257,TRAIL,-1.0000000000000093,1.0,1.0223732685352116,2.189095574703573
v1,2026-01-26 17:00:00+00:00,2026-01-26 20:00:00+00:00,124.28,123.65100000000001,TRAIL,-0.506115223688438,3.0,1.0180884802477854,0.17358981997719053
v1,2026-01-27 00:00:00+00:00,2026-01-27 09:00:00+00:00,124.09,123.78960000000001,TRAIL,-0.24208235957772278,9.0,1.0053355246406335,-0.5583473029168924
v1,2026-01-27 20:00:00+00:00,2026-01-28 09:00:00+00:00,127.36,126.3438,TRAIL,-0.7978957286432143,13.0,1.0222407381219016,0.8922940718428842
v1,2026-02-02 15:00:00+00:00,2026-02-02 18:00:00+00:00,104.7,103.95,TRAIL,-0.7163323782234956,3.0,1.028213078185721,0.8219245183951647
